geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
B3GNT7	1557.91418313639	0	0	39.6609097142473	764.543878034783	604.233348963995	2114.93641077751	175.332872164845	3160.10900314305	787.794077934121	100.437283306001
BANK1	11022.1687754889	0	16.8920287378224	0	198.446116226264	812.671455824231	296.272550585085	278.616844366463	302.89063754918	13.4099168030265	964.01856744599
BATF	1619.26173794834	5372.01150590153	13876.629240481	6454.44582534825	3147.06689622477	411.737726888898	2705.06213759788	6754.89672227481	3938.70288209064	7165.82795600807	748.571627140037
BCL11A	12213.0433267106	80.7488842342574	374.03777919464	8.07907420105038	32.5545200489059	12558.8570845833	1337.00675005444	360.973318168359	272.526600864176	0	296.155471533989
BHLHE40-AS1	0	783.287447644122	3452.86856812305	827.947721045306	301.957793747037	361.538663226603	423.995354801248	1708.97491906993	1007.07388338598	1994.68659020651	8.51923385184828
BIRC5	814.249363867685	0	306.46966424335	5622.09133655692	0	9.7499493727291	2961.21339688223	6064.39339199141	119.769255813073	535.163576323081	751.037721149783
BLK	6386.24559935864	230.611366790055	54.812909577832	27.4898368918857	121.250966888739	1026.77507380646	0	185.223978373669	71.0368512568931	211.167655403981	478.422237890638
BLNK	10804.8380912545	0	290.267106066255	90.1288927104192	179.537203383487	8931.21713756507	2664.63842450342	368.573852413034	480.389049528804	0	8133.62642486989
BTK	7258.53114434104	194.076569024123	102.041642987662	127.271649426937	179.732140629289	5978.95881871721	5568.59329510722	348.271055458079	305.702122427421	38.3801067121104	3782.76402058516
BTLA	3445.22290773467	2967.69602489765	4458.11664566367	1826.60523072839	1314.85172293335	3473.35358599844	65.7263365027137	2113.36498764965	981.77051948181	2585.18534046392	837.126821126355
C15orf48	0	154.982008357393	34.3011603961905	75.7544360150439	0	0	6401.16049322979	190.013356116889	357.620876512274	357.443644439293	26.2302726491118
C1orf186	1924.95381505107	120.308856337496	0	8.39384332576663	57.5064875115403	6865.41367519994	12.701715336414	120.255028117812	19.8678264729041	57.0306806565495	3021.18935230283
C1orf21	0	70.9752440675749	290.611841346619	1155.83222595807	1026.73447363825	1110.04491169247	1877.43449543948	1094.6851650482	2421.43820946649	411.545722575641	42.1477885301968
C5AR1	466.380842831747	0	134.791494622216	118.772883059598	172.519462534621	0	3782.69179590158	0	0	93.8694176211856	11.6578989551608
CADM1	0	390.480195230789	2085.13134327998	3069.838350316	370.575704269282	0	1298.29676045775	3537.47604790544	507.754169010352	4651.69976090272	5278.33794231358
CAMK4	1339.537801945	8044.40397433442	3624.89147302455	3176.9647757611	7419.50651246351	170.492357950155	150.10201695175	3108.93085679469	4173.93045023681	3783.60031912519	885.551939863177
CASC5	1942.03353201576	551.977963699304	247.002828380608	3900.19930131747	45.0305037802231	200.796254649178	1838.01885499077	4570.94047136639	261.655526001643	451.621336009973	428.651976966682
CBFA2T3	1543.62299139043	0	0	0	20.6633480549941	4479.96998069642	227.824417938854	74.6518226497586	72.7237421838378	0	1089.11679084945
CCDC109B	2205.72344801143	6107.12886986701	3113.64905224515	2399.48503771196	5145.95341467675	1839.31477355808	4267.77635303511	4093.14798302645	3762.70392871274	2648.68977405986	474.386811329236
CCL3	362.682561260413	307.869665250497	990.079725204613	4689.85011218896	1588.15374154752	768.533171501741	8796.24029226042	2438.52208965132	2003.08925958421	5843.64098662461	183.163527814738
CCL4	200.599532922026	56.5474895358056	1771.76697342936	6165.48776885874	7516.39032362702	1553.79936422425	6336.24061484367	3610.14964931343	7368.33956889441	8943.95209669444	228.67417181277
CCL5	694.865627941023	6823.39707065388	2702.20749513105	9312.96916993808	17146.8750779749	343.35632520719	5041.77453043976	6019.62312178305	14217.8664615907	12297.8185302238	625.715307381804
CCNA2	354.83983408275	129.384379349415	304.056517280804	6555.80148350688	217.939840806448	280.245166429659	2650.82782925669	6369.14358013066	411.976250824937	1591.00185334298	598.588273274603
CCNB2	893.199484122835	0	399.548189941555	5565.53781714957	0	33.3342863689252	3509.10087984581	5585.35150076193	0	720.590356944241	320.816411631445
CCR4	103.698281571334	5824.39142218798	5076.39937099601	359.571263467528	1113.28661077426	5.66551112199123	87.3998983862773	1307.70835771404	798.649137745703	388.425176363527	11.2095182261162
CCR5	470.912196312175	2197.90550891228	5299.61546503152	2867.6516492066	2188.95033310877	1561.04594821749	3605.17020298551	3116.53139103937	2398.57146579013	5777.67036143271	85.6407192475274
CCR7	5833.59475757259	10423.5872377668	3848.45230234042	1332.41770492388	8020.10816677895	1788.85219775058	90.323309058944	2053.70599967432	4691.05623550797	1243.57711226227	0
CCR8	0	863.338214723617	6390.7026273827	0	186.944818723956	19.7634108906671	237.804337131751	698.103864528078	161.94152898669	527.610864560457	23.3157979103216
