geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
CXCR6	400.952585739992	3240.36144943895	10601.1718289482	3824.09757066473	2921.8322263427	122.877335358146	422.740675925262	4897.61512270101	1597.76001201217	7900.44019929491	316.205127810267
CYTH3	0	563.475157936898	276.303485155269	75.2095791977943	396.413843591764	581.141837179633	259.211824747561	70.1393166130912	1635.29805076806	101.906849480605	17.9662004437652
DBH-AS1	125.499776080915	1258.94368889617	1545.88022804767	183.08461485978	315.417694802877	17.2652758201282	28.6260015156003	306.236688381748	225.984031973339	2263.43835412141	0
DCHS1	0	83.1406533520248	3.66268083055866	3.16117320621202	543.608767833106	72.9182393679881	191.365947139721	36.6666372822535	0	78.504441457919	84.9544620983752
DERL3	1023.80332628972	0	307.207354663108	1114.57698629026	0	11336.8576536784	640.816711093319	1022.19430277112	123.95110783822	0	19280.2996762234
DGKH	194.413501754976	1179.74766508275	2652.92550908402	2202.28400032771	881.092721120135	0	476.273552775302	1658.5584850112	1080.54126324822	3312.92997935695	16.6829004120676
DHFR	914.470993182189	670.587021561952	598.848315796341	5847.90700039172	683.794409967718	494.264438637924	2942.05421088482	5926.19734137495	767.640295900519	546.765351075479	463.014651436462
DHFRP1	151.973963949836	0	151.314501812455	4595.81897963124	0	34.7142247872789	2142.10397955517	4803.58500061132	196.759787035873	132.542729073939	193.008324767306
DHRS3	551.107712355322	8010.63229377173	1536.72352597127	780.151204183075	3513.98676284094	0	5578.80197253437	1072.40332176737	6084.68934249732	1117.78410682901	33.3658008241353
DIAPH3	253.424668607838	0	296.677147275252	2580.70277622134	0	0	1408.75991710631	3298.71977222225	134.784233116763	157.221632079681	58.775141451746
DLGAP5	0	0	0	4461.86426501801	0	0	1635.40121257038	5256.61599644014	202.050383102138	469.962902928301	351.624208685118
DNA2	465.824450670706	18.2059824858448	373.135609613164	3636.79805819667	190.289029045686	776.202719317676	851.567194692424	2351.39184383232	109.338985369486	241.257551797507	285.149267043187
DNASE1L3	646.293532861136	0	117.205786577877	61.3794464206168	0	12453.9577338701	8.22715791590086	74.0998244728468	170.054873558533	53.6127892883349	0
DTHD1	0	927.898240695226	2934.95193303704	1614.43749952253	1636.01836431912	25.7142405831696	27.1608912018097	2244.45813161892	2609.01966010692	7713.85918260495	50.0487012362029
DTL	264.943971726376	0	721.548123620056	5091.06944860446	217.287745308649	78.9794532197352	2424.64486853002	5286.38368454734	288.9673184765	693.34952496303	333.144688228674
DUSP16	560.606085102186	3103.81658079512	6480.42697701782	1100.3517068623	2556.31114462875	419.693140946732	190.802443172879	1769.19718844825	1470.7857064218	1997.92739764585	237.1538458577
E2F2	189.967454937295	126.228145235191	180.844866008834	2241.6669498551	361.627036099101	443.937996353721	1119.11887814925	3046.3970940604	194.744321867772	223.386622034729	339.047868374482
EBF1	8555.00244936761	159.909212834004	215.411416347231	0	166.145946233614	0	24.9068753344396	199.686251122517	79.8628072860074	81.0574314240301	547.712453528498
EEF1A1P10	1098.57775004163	2563.09890096552	1599.6758527465	417.933440971281	1742.45561112503	794.753707166963	447.084047292859	491.741766199978	1159.39633795018	674.414849381038	199.168164919454
EEF1A1P14	732.991445805923	2250.86630133328	1215.78111819357	398.966401734009	1201.44287370182	744.059918588714	243.997217642813	428.756915398059	991.356929559744	425.923826012883	313.895187753211
EEF1A1P16	675.799116287567	2330.36575818814	1347.63762809368	232.082799556066	1501.54398908629	766.651715672499	264.396061242513	371.137913954517	1053.33248347885	671.436361087242	126.020063112696
EEF1A1P8	939.934715865274	3120.50539807381	1366.17994979838	491.43071801571	1621.74019706467	1214.99786755476	361.994948299638	537.734760700366	1239.5110783822	861.634113562525	259.226606402897
EGLN3	116.809775482719	1105.40656993221	127.278158861913	136.193878967635	0	10789.3280024039	2540.05048093937	225.3656730519	205.577447146315	33.401618723288	98.5574424343688
ELL3	5113.9643055194	365.029948841189	191.37507339669	223.257857688724	181.202922611035	474.427738759479	315.787623018551	276.596758592609	132.012968510624	72.9729631980114	0
ENC1	1315.22148588501	0	315.219468979955	360.110314407653	1138.35933474125	238.407744835387	356.021806251107	1129.25577330257	1299.4711671332	2865.09298946828	422.71903044116
EOMES	0	1355.43539607115	377.942878203272	3802.23278932177	2081.497182658	103.407981773746	54.4344831969879	2818.73177128348	1943.66422148753	3902.88341069248	0
EPHA2	0	0	0	123.812617243304	0	5021.25649330493	240.50349304839	0	0	0	3.84990009509253
EPHB1	0	0	0	71.1263971397705	116.30216236353	9790.69710204182	74.2698228298448	140.661908180352	95.2307291927785	160.625618701162	0
EPHX2	115.395124222548	3294.97939689649	5221.15152396137	433.080729251047	807.884663560949	0	197.113687601515	577.212080979865	1560.4739064023	1704.75904987074	502.796952419085
ESCO2	149.548847503828	35.8050988888282	157.953110817842	4647.45147533271	0	0	2124.52265578969	4386.83736711059	370.08979149257	244.874287582831	255.120046301465
ESPN	217.250014954885	5172.01619118709	2973.63899930981	302.550618944542	2093.43892254354	34.7142247872789	74.4952244165818	373.30980536148	2037.63528495024	1293.514916163	0
ETV1	0	41.8737597174431	773.283490351697	1700.57946939181	750.771994543144	0	424.881990999264	611.19579358293	808.957331846592	3187.8334710175	0
ETV7	869.606338931041	897.25150351072	5906.53067437966	1740.62099667049	373.828379025632	0	503.434443977112	2170.99709873636	913.005721149813	2441.93490258535	1024.58674530729
F2R	0	1949.55729119255	2438.88759804825	4122.82843865177	4647.15403676239	0	133.099636968204	3580.55462185518	2168.38858773081	6032.71528992073	1098.76148713941
F5	5.2544189663507	1885.22948640923	7273.85521193759	763.423329300203	40.2384713534534	0	1795.21093756692	1133.85507275261	205.829380292328	1161.61043458059	6.15984015214805
FAAH2	383.774677580769	3770.15553977704	6253.34076552318	420.30432087594	1457.41147211798	469.468563789868	38.7690729187657	1330.0918492876	1851.20475690089	2022.60630065159	2109.23193209803
FAIM2	0	0	2941.13270693861	283.58357970727	0	0	1464.09600665025	719.662605613011	139.067096598978	1346.91495628749	18.7361804627837
FAM129C	6098.56158259866	87.9955820149168	34.7954678903073	93.9131873345488	88.0054308956175	9433.63650422981	19.1591348726459	144.622416040108	233.542026353719	12.9776989943985	8.21312020286407
FAM198B	0	0	0	21.46963469219	9.86491555762084	238.040398541341	4686.43709064254	0	0	0	44.1455210903944
FAM72D	166.928848700218	0	0	1520.7877432885	0	83.2039356012559	1074.26396238859	3272.01828374841	174.085803894735	536.766140374877	123.196803042961
FANCI	1032.49332688791	517.049902597994	1050.96048081843	7117.38147378637	736.753430329683	1158.05919197774	2624.12527279227	6247.89278624155	928.625576202597	2477.88951127475	723.267897864717
FASLG	0	453.328963897537	753.596580887445	4333.96846571668	1631.3455095813	0	109.31976956745	2408.49981200364	2712.56418311811	4679.41785871796	37.4723609255673
FBLN7	253.020482533503	4355.47787669695	6716.21205548504	87.4591253718659	1329.16756986891	520.897044956207	134.677448075363	1670.31225027241	2221.29454839346	1817.72885587116	23.8693805895737
FBP1	109.736519181863	68.2724343219182	591.751871687134	0	456.122543019469	1680.60929525716	11438.0035189696	113.44938643429	1010.75578180272	0	1273.80361146295
FBXO5	718.03656105554	205.424169048616	582.137334506917	5232.13680293167	713.129553599591	788.876166462239	1988.60549898727	4809.33412492387	396.79470496991	1117.78410682901	1152.6600884707
FCER2	9658.02624622692	42.4806258003046	0	60.3257220185461	33.2291892467228	0	48.4613411484571	0	215.402839840808	0	765.360138904395
FCGR1A	0	0	39.1449013765957	0	570.088278014089	245.203651275224	7696.44987992858	0	299.296577463018	111.906060181207	155.022643829059
FCGR1B	0	191.769682184232	0	0	209.499654078948	162.550735115036	5230.78192261242	0	156.45048367385	0	21.8161005388577
FCN1	0	185.094155272756	97.2899595617145	0	198.855929398357	64.285601457924	7358.46020061643	0	113.873781997714	0	418.869130346068
FCRL1	13281.9585887116	0	131.169757244382	0	0	0	0	261.265760425813	266.293335335362	126.373003322504	962.731683779473
FCRL2	6190.10972843546	0	272.4118867728	0	0	18.5509878492866	60.5203260388872	176.689753872323	280.905457804095	0	3168.72443826749
FCRL5	9086.91132319204	32.46733543309	21.2893323276222	0	21.8066554431619	858.855635477864	7.21285077558432	293.460856576085	447.685200464464	35.1036120340288	13516.2292538509
FCRL6	118.022333705723	924.560477239488	198.013682402078	1003.54077742206	2748.67699800235	0	559.108635901153	430.545531850851	4445.10842824705	1737.30967193866	128.073343163412
FCRLA	10928.3830778608	0	0	0	0	4083.9724240484	57.364703824569	412.787125640979	35.7745067337951	0	1317.94913255334
FER1L4	0	0	176.266514970636	23.4453679460725	222.999012210429	39.8570729039129	0	176.817512190379	304.335240383271	114.246300983476	8230.57308329516
FGFBP2	156.21791773035	0	0	339.826119667792	1000.51011997555	63.5509088698334	0	794.017946721971	3132.7886706672	718.241177132614	0
FKBP11	742.085632478453	6123.58220911391	1381.51742577635	3106.37953730435	5443.61616651977	1811.38457593728	1079.89900205701	3659.12598746001	4891.03009668942	2320.66787919507	21940.323981926
FKBP2	2328.51597424203	6331.73727553541	5125.00615215921	5205.13511512861	3588.23323256409	10075.5741530739	7006.60832371996	5863.72352384526	5364.16054490116	5310.85737700279	18629.6665601528
FLT3	108.321867921691	74.3410951505331	0	0	58.929890304735	4731.42026730321	0	80.4877403756785	76.587676387843	0	243.827006022527
FLT3LG	869.202152856706	10947.8641348214	5030.92103832423	2365.61128264866	8624.01302168854	391.223803158223	1236.77850642597	2989.16136757103	5258.85248986788	2690.4259259535	519.736512837492
FN1	175.618849298414	631.747592258816	176.495432522546	214.037769170606	60.2279055096851	243.366919804998	9075.68218917234	410.10420096179	336.834616218902	461.878434702282	207.381285122318
FNDC3B	488.054684759113	682.11747713632	1965.48610069854	402.522721590997	1969.08906590932	815.508772780521	5480.9776838905	866.840188014251	2504.97127080369	1108.42314361994	8503.40267003405
FOXP3	207.953735245187	1131.19837845383	8427.59967356357	0	0	0	202.523325683203	859.174688930853	76.0838100958177	558.466555086822	0
FPR3	0	0	62.952326775227	0	0	103.407981773746	5795.75099976874	7.92101571951121	180.887998837077	14.8924414689819	0
FTH1P20	1063.61565461168	2959.68588611551	1708.64060745562	599.832615878731	3526.96691489044	2013.79238395622	2133.4260184658	341.753500801492	2390.08975622193	656.331170454417	253.323426257089
GABARAPL1	1264.09194748168	3514.36148585092	3379.05198374228	4057.89267237416	9341.55582698496	3170.38219075779	4345.06638752934	2103.15743184828	7625.76439665664	6464.17059419352	874.697301605023
GAPT	3683.34769541184	183.880423107033	24.723095606271	0	144.858496872432	10366.3287448108	1015.8849514237	235.841855132544	293.250181958715	0	64.421661591215
GAS6	561.212364213688	240.318968813152	15.7953110817842	62.8283174734639	401.086698329584	8089.14906802408	1145.60356459085	149.86050708043	339.605880825041	0	4131.71278205331
GEM	282.526065959934	763.740965281191	4967.28195889328	4315.39657313019	678.861952188908	820.100601456087	2436.92925500718	3035.15436207142	1851.4566900469	6973.27934326886	345.977688545649
