GeneSymbol	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils
BRAF	NA	1	NA	NA	NA	3967.88115741389	NA	NA	1	1	NA	NA	NA	1524.63301925727	1	2101.38165811762	NA	NA	1	NA	NA	NA
BRSK2	NA	0	NA	0	NA	0	0	NA	0	NA	NA	NA	0	547.594340586985	0	1348.29403871857	NA	NA	NA	NA	NA	0
BST1	NA	NA	NA	0	6934.38541549732	NA	NA	NA	NA	NA	6051.30834212922	0	NA	659.913521873834	1763.74592341126	3322.3858293621	NA	NA	6675.15625006978	NA	0	NA
BTNL8	0	0	NA	NA	0	NA	NA	0	NA	0	0	NA	0	0	NA	0	NA	NA	0	NA	0	NA
C11orf80	NA	NA	NA	1	NA	1753.71898482891	NA	1	1	1	1	1	NA	1351.95401223407	NA	1167.24934633406	1	NA	1949.67910419932	NA	NA	NA
C1orf54	NA	NA	NA	NA	1	4127.19634511062	NA	NA	NA	1	NA	NA	1	1767.14610998323	NA	3104.95375923959	NA	NA	NA	NA	NA	NA
C3AR1	0	NA	NA	2510.46960892201	0	4847.47156146513	NA	0	NA	NA	0	0	14982.4134758598	1857.193373698	2829.55446792495	3391.12059146677	0	NA	0	NA	0	NA
C5AR1	0	0	NA	NA	0	2584.63151837767	NA	0	0	NA	0	0	8877.12522165047	1588.61599118652	0	2962.91454937727	0	0	0	NA	NA	NA
C5AR2	NA	1	NA	55.7746771411899	NA	100.073730029418	1	1	1	NA	1	NA	233.211731709264	72.9987126407265	NA	105.768132043743	NA	1	1	NA	NA	1
CA8	NA	NA	NA	0	0	NA	NA	5793.65647064545	NA	0	NA	NA	NA	NA	NA	NA	6543.94565989066	0	NA	NA	NA	NA
CAMP	NA	NA	NA	0	0	NA	NA	0	NA	NA	NA	NA	3150.509536905	NA	NA	0	NA	0	0	NA	0	NA
CASP5	0	0	NA	95.1618057929417	NA	NA	405.856579130251	0	0	NA	NA	0	252.315414196131	NA	98.8020144941034	NA	0	0	0	294.35287998933	0	448.35731769251
CCDC102B	865.818337547863	NA	NA	0	NA	1554.3408596139	NA	0	NA	NA	NA	NA	NA	NA	0	548.507196793021	0	NA	NA	0	NA	0
CCL1	0	NA	NA	NA	0	NA	88.9013854440577	NA	0	139.87870970778	NA	NA	0	NA	0	0	126.280346413802	0	NA	0	0	NA
CCL13	NA	NA	NA	0	NA	NA	NA	0	0	0	0	0	NA	NA	NA	3625.60660357753	NA	NA	0	7549.54962805932	0	NA
CCL14	180.069055874924	NA	NA	NA	0	99.8161952520985	NA	0	461.215293069467	NA	0	NA	NA	NA	0	NA	258.971903736319	0	239.401446809044	0	0	0
