Mixture	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells	P-value	Correlation	RMSE
TCGA.FR.A8YC.06A	0	0	0.0694913659599424	0.231738786891402	0.0655745949577282	0.0402253651955345	0.197894112666388	0.0206237087447505	0.0421533358619409	0	0.332298729722313	0	0.535798835193872	0.844639423244444
TCGA.DA.A3F3.06A	0	0.00139173295976083	0	0.18304958406416	0.0264411340424263	0.0630812573797962	0.191028840636973	0.408492531091791	0.0321788994472822	0	0.0943360203778109	0	0.443241668628285	0.898114567115611
TCGA.ER.A2NB.01A	0	0	0.0777266477699311	0.111499966137087	0.103409144369336	0.0859518541563252	0.216566752938199	0.0582645057547318	0.144849147341375	0	0.201731981533015	0	0.339728716235713	0.951859045303382
TCGA.EB.A3XF.01A	0	0.0161503888054162	0.066196806590539	0.184740830261638	0.0100883992320388	0.079626745006967	0.327227612773717	0.152992340263639	0.0673624053837618	0	0.0956144716822824	0	0.498506399614058	0.867395007816181
TCGA.FW.A5DY.06A	0.196687616756899	0.0500919805519327	0.0135284833078752	0.00995817834661179	0.0757608506122389	0.0694082064512917	0.11368294490224	0.164526043551708	0.00173687023890484	0.0233288185472841	0.281290006733013	0	0.479972663024767	0.883148451398274
TCGA.D3.A3MV.06A	0	0.0235719550462331	0.0124958219775384	0.142907178773893	0.00921115045596055	0.0552371210080086	0.245618885318181	0.406449384303427	0.00719772753979825	0	0.0973107755769604	0	0.511807726801206	0.858408483982436
TCGA.D9.A3Z3.06A	0.0411247191212699	0	0.0476138167851168	0.12852614225051	0.0219676045217872	0.0380588308408603	0.143513789385899	0.156262260695687	0.0637988686434115	0	0.359133967755458	0	0.512953649852876	0.863019593969787
TCGA.YD.A9TB.06A	0	0	0.0368960750626579	0.129516902122978	0.0279259685668979	0.0617000908136851	0.211059400722468	0.221232358128371	0.0805925829872328	0	0.231076621595709	0	0.598885290442339	0.805718518069812
TCGA.FS.A1ZP.06A	0.0193051005124183	0.0831891782398502	0	0.116505886276266	0	0.0877525117784264	0.31425490696995	0.115006935145195	0.00647138353616776	0.00721133340659808	0.250302764135127	0	0.43843697475385	0.900684635934604
TCGA.FS.A1Z4.06A	0.0950014964599782	0	0.0632458774593445	0.103034808250774	0.0223335530582381	0.0624949114619887	0.142126525151884	0.315486394882403	0.0166772515662405	0	0.179599181709149	0	0.441101892660205	0.897757531198562
TCGA.D3.A1Q1.06A	0	0.0515361341980361	0.0103024301257054	0.190014222603346	0	0.050050389069439	0.261943795690364	0.280548834300319	0.051610959881081	0	0.103993234131709	0	0.287042315596449	0.975949391912007
TCGA.RP.A693.06A	0	0	0.0137333452158875	0.164640800037274	0.0540438363095007	0.0362890616453665	0.262576412495746	0.108545477050694	0.0458794652984951	0	0.314291601947037	0	0.514188927674877	0.858123655434193
TCGA.ER.A19J.06A	0	0.0313608392213225	0	0.16989552480017	0.00267583093162556	0.0640219519024382	0.331848046474967	0.153178665971791	0.0548076993343665	0	0.192211441363319	0	0.408560712069663	0.914655092506138
TCGA.D3.A3ML.06A	0	0.00249870820954303	0.00878109421746874	0.167515003435565	0.0287203440898949	0.0429700305106352	0.138186270694422	0.462701504897851	0.0338333375141721	0	0.114793706430449	0	0.384027229098347	0.934957902944496
TCGA.EE.A2GB.06A	0	0	0.0315472761352723	0.163812272061715	0.0280988732102709	0.0565032038021983	0.161546066469754	0.238398850579903	0.0846809533900153	0	0.235412504350871	0	0.514476562804446	0.85668708993902
TCGA.D3.A5GN.06A	0	0	0	0.201827650893011	0.0338784888843633	0.0419492459322059	0.164764215178044	0.23467372483375	0.081745978594946	0	0.241160695683679	0	0.436462880073468	0.903956311331939
TCGA.FS.A1ZT.06A	0.0132487821341418	0.019425157059384	0.0112736593819137	0.224907330442366	0.0487952634686472	0.0593458669696204	0.194606679435536	0.143144009402379	0.0318649031860094	0	0.253388348520003	0	0.392891229802371	0.927936758450587
TCGA.ER.A19M.06A	0	0	0.0103796330593398	0.368488050950812	0.0249513033614252	0.0317584043103141	0.256580145115493	0.135970307785438	0.0588145472206362	0	0.113057608196542	0	0.643559512216009	0.776653823846202
