Cell Name,Cluster,sf_cluster,ruoyi_cluster
D7_P2_MMD1-84B_L001,CD8_G,5,CD8_G
D7_P4_MMD1-84B_L001,CD8_G,9,CD8_G
D8_P1_MMD1-84B_L001,CD8_G,5,CD8_G
D8_P2_MMD1-84B_L001,CD8_G,5,CD8_G
D8_P3_MMD1-84B_L001,CD8_G,9,CD8_G
D8_P4_MMD1-84B_L001,CD8_G,9,CD8_G
D9_P1_MMD1-84B_L001,CD8_G,5,CD8_G
D9_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E10_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E10_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E10_P4_MMD1-84B_L001,CD8_G,5,CD8_G
E11_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E11_P2_MMD1-84B_L001,CD8_G,9,CD8_G
E11_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E11_P4_MMD1-84B_L001,CD8_G,9,CD8_G
E12_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E12_P2_MMD1-84B_L001,CD8_B,9,NA
E12_P3_MMD1-84B_L001,CD8_G,5,CD8_G
E12_P4_MMD1-84B_L001,CD8_G,5,CD8_G
E1_P1_MMD1-84B_L001,CD8_G,5,CD8_G
E1_P2_MMD1-84B_L001,CD8_B,9,CD8_B
E2_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E3_P3_MMD1-84B_L001,CD8_G,5,CD8_G
E3_P4_MMD1-84B_L001,CD8_G,9,CD8_G
E4_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E4_P2_MMD1-84B_L001,CD8_G,9,CD8_G
E4_P3_MMD1-84B_L001,CD8_G,5,CD8_G
E4_P4_MMD1-84B_L001,CD8_B,9,NA
E5_P2_MMD1-84B_L001,CD8_G,5,CD8_G
E5_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E5_P4_MMD1-84B_L001,CD8_G,9,CD8_G
E6_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E6_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E6_P4_MMD1-84B_L001,CD8_G,9,CD8_G
E7_P1_MMD1-84B_L001,CD8_G,5,CD8_G
E7_P2_MMD1-84B_L001,CD8_G,9,CD8_G
E7_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E7_P4_MMD1-84B_L001,CD8_G,9,CD8_G
E8_P1_MMD1-84B_L001,CD8_G,9,CD8_G
E8_P2_MMD1-84B_L001,CD8_G,5,CD8_G
E8_P3_MMD1-84B_L001,CD8_G,9,CD8_G
E9_P1_MMD1-84B_L001,CD8_G,5,CD8_G
E9_P2_MMD1-84B_L001,CD8_G,5,CD8_G
E9_P4_MMD1-84B_L001,CD8_G,5,CD8_G
F10_P1_MMD1-84B_L001,CD8_G,9,CD8_G
F10_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F10_P4_MMD1-84B_L001,CD8_G,9,CD8_G
F12_P1_MMD1-84B_L001,CD8_G,9,CD8_G
F12_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F12_P4_MMD1-84B_L001,CD8_G,9,CD8_G
F1_P1_MMD1-84B_L001,CD8_G,9,CD8_G
F1_P2_MMD1-84B_L001,CD8_G,9,CD8_G
F2_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F3_P1_MMD1-84B_L001,CD8_G,9,CD8_G
F3_P2_MMD1-84B_L001,CD8_G,9,CD8_G
F3_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F4_P2_MMD1-84B_L001,CD8_G,9,CD8_G
F4_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F5_P2_MMD1-84B_L001,CD8_G,9,NA
F5_P3_MMD1-84B_L001,CD8_G,9,CD8_G
F5_P4_MMD1-84B_L001,CD8_G,9,CD8_G
F7_P1_MMD1-84B_L001,CD8_G,5,CD8_G
F7_P2_MMD1-84B_L001,CD8_G,5,CD8_G
F7_P4_MMD1-84B_L001,CD8_G,9,CD8_G
F8_P1_MMD1-84B_L001,CD8_G,5,CD8_G
F8_P3_MMD1-84B_L001,CD8_G,5,CD8_G
F8_P4_MMD1-84B_L001,CD8_G,9,CD8_G
F9_P1_MMD1-84B_L001,CD8_G,9,CD8_G
F9_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G10_P2_MMD1-84B_L001,CD8_G,5,CD8_G
G10_P4_MMD1-84B_L001,CD8_G,9,CD8_G
G11_P1_MMD1-84B_L001,CD8_G,5,CD8_G
G11_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G12_P1_MMD1-84B_L001,CD8_G,5,CD8_G
G12_P3_MMD1-84B_L001,CD8_G,5,CD8_G
G12_P4_MMD1-84B_L001,CD8_G,5,CD8_G
G1_P1_MMD1-84B_L001,CD8_G,9,CD8_G
G1_P2_MMD1-84B_L001,CD8_G,9,CD8_G
G2_P1_MMD1-84B_L001,CD8_G,9,CD8_G
G2_P2_MMD1-84B_L001,CD8_G,9,CD8_G
G2_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G2_P4_MMD1-84B_L001,CD8_G,9,CD8_G
G3_P2_MMD1-84B_L001,CD8_G,9,CD8_G
G3_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G3_P4_MMD1-84B_L001,CD8_G,5,CD8_G
G4_P3_MMD1-84B_L001,CD8_G,5,CD8_G
G5_P1_MMD1-84B_L001,CD8_G,9,CD8_G
G5_P2_MMD1-84B_L001,CD8_G,5,CD8_G
G5_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G5_P4_MMD1-84B_L001,CD8_G,5,CD8_G
G6_P2_MMD1-84B_L001,CD8_G,9,CD8_G
G6_P3_MMD1-84B_L001,CD8_B,9,NA
G6_P4_MMD1-84B_L001,CD8_G,9,CD8_G
G7_P2_MMD1-84B_L001,CD8_G,5,CD8_G
G7_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G7_P4_MMD1-84B_L001,CD8_G,5,CD8_G
G8_P3_MMD1-84B_L001,CD8_G,9,NA
G8_P4_MMD1-84B_L001,CD8_G,5,CD8_G
G9_P2_MMD1-84B_L001,CD8_G,9,NA
G9_P3_MMD1-84B_L001,CD8_G,9,CD8_G
G9_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H10_P1_MMD1-84B_L001,CD8_G,9,CD8_G
H10_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H10_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H11_P1_MMD1-84B_L001,CD8_G,5,CD8_G
H11_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H11_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H11_P4_MMD1-84B_L001,CD8_B,9,NA
H12_P1_MMD1-84B_L001,CD8_G,9,CD8_G
H12_P2_MMD1-84B_L001,CD8_B,9,NA
H12_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H12_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H1_P1_MMD1-84B_L001,CD8_G,9,NA
H1_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H2_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H2_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H3_P1_MMD1-84B_L001,CD8_G,9,CD8_G
H3_P2_MMD1-84B_L001,CD8_G,5,CD8_G
H3_P3_MMD1-84B_L001,CD8_G,5,CD8_G
H4_P2_MMD1-84B_L001,CD8_G,5,CD8_G
H4_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H5_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H5_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H6_P1_MMD1-84B_L001,CD8_G,5,CD8_G
H6_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H7_P1_MMD1-84B_L001,CD8_G,5,CD8_G
H7_P2_MMD1-84B_L001,CD8_G,5,CD8_G
H7_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H8_P2_MMD1-84B_L001,CD8_G,5,CD8_G
H8_P3_MMD1-84B_L001,CD8_G,5,CD8_G
H8_P4_MMD1-84B_L001,CD8_G,9,CD8_G
H9_P1_MMD1-84B_L001,CD8_G,9,CD8_G
H9_P2_MMD1-84B_L001,CD8_G,9,CD8_G
H9_P3_MMD1-84B_L001,CD8_G,9,CD8_G
H9_P4_MMD1-84B_L001,CD8_G,5,CD8_G
A10_P1_M8_L001,CD8_B,11,CD8_B
A12_P1_M8_L001,CD8_B,11,CD8_B
A5_P2_M8_L001,CD8_B,11,CD8_B
A6_P1_M8_L001,CD8_B,11,CD8_B
A6_P4_M8_L001,CD8_B,11,CD8_B
A8_P2_M8_L001,CD8_B,11,CD8_B
A8_P4_M8_L001,CD8_B,11,CD8_B
B10_P2_M8_L001,CD8_B,9,CD8_B
B1_P3_M8_L001,CD8_G,5,CD8_G
B2_P4_M8_L001,CD8_B,9,CD8_B
B5_P1_M8_L001,CD8_B,6,CD8_B
C1_P3_M8_L001,CD8_G,5,CD8_G
C3_P2_M8_L001,CD8_B,11,CD8_B
C3_P4_M8_L001,CD8_B,6,CD8_B
C6_P3_M8_L001,CD8_B,9,CD8_B
C6_P4_M8_L001,CD8_B,11,CD8_B
D10_P1_M8_L001,CD8_B,11,CD8_B
D3_P3_M8_L001,CD8_B,11,CD8_B
E12_P2_M8_L001,CD8_G,5,CD8_G
E2_P3_M8_L001,CD8_G,9,NA
E4_P4_M8_L001,CD8_G,9,CD8_G
E6_P2_M8_L001,CD8_B,9,CD8_B
E7_P1_M8_L001,CD8_B,11,CD8_B
F8_P1_M8_L001,CD8_B,6,CD8_B
G11_P2_M8_L001,CD8_B,11,CD8_B
G3_P2_M8_L001,CD8_B,11,CD8_B
G4_P2_M8_L001,CD8_B,6,CD8_B
G6_P1_M8_L001,CD8_B,11,CD8_B
G8_P4_M8_L001,CD8_G,7,NA
H12_P1_M8_L001,CD8_B,11,CD8_B
H1_P2_M8_L001,CD8_B,6,NA
H1_P3_M8_L001,CD8_B,11,CD8_B
H5_P4_M8_L001,CD8_G,9,NA
H8_P4_M8_L001,CD8_B,11,CD8_B
A12_P2_M67_L001,CD8_B,11,CD8_B
A2_P1_M67_L001,CD8_B,11,CD8_B
A4_P2_M67_L001,CD8_B,6,CD8_B
A5_P1_M67_L001,CD8_B,11,CD8_B
A5_P3_M67_L001,CD8_G,6,NA
A6_P2_M67_L001,CD8_B,6,CD8_B
A7_P2_M67_L001,CD8_B,11,CD8_B
A7_P4_M67_L001,CD8_B,6,CD8_B
B11_P1_M67_L001,CD8_B,11,CD8_B
B11_P4_M67_L001,CD8_B,6,CD8_B
B12_P1_M67_L001,CD8_B,11,CD8_B
B12_P3_M67_L001,CD8_B,6,CD8_B
B12_P4_M67_L001,CD8_B,11,CD8_B
B1_P1_M67_L001,CD8_B,6,CD8_B
B1_P3_M67_L001,CD8_B,11,CD8_B
B1_P4_M67_L001,CD8_B,11,CD8_B
B4_P2_M67_L001,CD8_B,11,CD8_B
B4_P4_M67_L001,CD8_B,11,CD8_B
B7_P3_M67_L001,CD8_B,11,CD8_B
B8_P3_M67_L001,CD8_B,11,CD8_B
C10_P1_M67_L001,CD8_B,6,CD8_B
C12_P2_M67_L001,CD8_B,6,CD8_B
C3_P2_M67_L001,CD8_B,6,CD8_B
C3_P3_M67_L001,CD8_B,9,CD8_B
C5_P4_M67_L001,CD8_B,11,CD8_B
C7_P3_M67_L001,CD8_G,9,CD8_G
C7_P4_M67_L001,CD8_B,11,CD8_B
C8_P1_M67_L001,CD8_B,11,CD8_B
C9_P1_M67_L001,CD8_B,6,CD8_B
D12_P2_M67_L001,CD8_B,11,CD8_B
D2_P1_M67_L001,CD8_B,11,CD8_B
D2_P2_M67_L001,CD8_G,5,CD8_G
D6_P2_M67_L001,CD8_B,11,CD8_B
D7_P1_M67_L001,CD8_B,11,CD8_B
D7_P2_M67_L001,CD8_B,11,CD8_B
D8_P1_M67_L001,CD8_B,11,CD8_B
D8_P3_M67_L001,CD8_B,11,CD8_B
D9_P3_M67_L001,CD8_B,11,CD8_B
E10_P2_M67_L001,CD8_B,11,CD8_B
E11_P3_M67_L001,CD8_G,9,NA
E12_P1_M67_L001,CD8_B,11,CD8_B
E2_P4_M67_L001,CD8_B,6,CD8_B
E3_P2_M67_L001,CD8_B,6,CD8_B
E4_P3_M67_L001,CD8_B,11,CD8_B
E5_P1_M67_L001,CD8_B,11,CD8_B
E6_P2_M67_L001,CD8_B,11,CD8_B
E7_P3_M67_L001,CD8_B,11,CD8_B
E8_P3_M67_L001,CD8_B,11,CD8_B
E8_P4_M67_L001,CD8_B,6,CD8_B
F11_P1_M67_L001,CD8_B,6,CD8_B
F12_P1_M67_L001,CD8_B,11,CD8_B
F2_P2_M67_L001,CD8_G,8,NA
F2_P3_M67_L001,CD8_B,6,CD8_B
F3_P2_M67_L001,CD8_G,8,CD8_G
F4_P3_M67_L001,CD8_B,11,CD8_B
F4_P4_M67_L001,CD8_B,11,CD8_B
F6_P3_M67_L001,CD8_B,6,CD8_B
F6_P4_M67_L001,CD8_B,6,CD8_B
F9_P1_M67_L001,CD8_B,6,CD8_B
G10_P1_M67_L001,CD8_B,6,CD8_B
G10_P3_M67_L001,CD8_B,3,CD8_B
G11_P2_M67_L001,CD8_B,11,CD8_B
G1_P4_M67_L001,CD8_B,11,CD8_B
G2_P1_M67_L001,CD8_B,11,CD8_B
G6_P1_M67_L001,CD8_B,11,CD8_B
G6_P4_M67_L001,CD8_B,11,CD8_B
G7_P1_M67_L001,CD8_B,11,CD8_B
G8_P4_M67_L001,CD8_B,11,CD8_B
G9_P3_M67_L001,CD8_B,11,CD8_B
G9_P4_M67_L001,CD8_B,11,CD8_B
H12_P1_M67_L001,CD8_B,11,CD8_B
H1_P1_M67_L001,CD8_B,6,CD8_B
H1_P4_M67_L001,CD8_B,6,CD8_B
H5_P1_M67_L001,CD8_B,6,CD8_B
A10_P6_M60-B1_L001,CD8_G,8,CD8_G
A10_P7_M60-B1_L001,CD8_G,8,CD8_G
A11_P7_M60-B1_L001,CD8_G,5,CD8_G
A2_P6_M60-B1_L001,CD8_G,10,CD8_G
A2_P8_M60-B1_L001,CD8_G,6,CD8_G
A3_P6_M60-B1_L001,CD8_G,10,CD8_G
A3_P7_M60-B1_L001,CD8_G,8,CD8_G
A4_P8_M60-B1_L001,CD8_G,8,CD8_G
A5_P6_M60-B1_L001,CD8_G,8,CD8_G
A5_P8_M60-B1_L001,CD8_G,6,CD8_G
A6_P7_M60-B1_L001,CD8_G,10,CD8_G
B10_P7_M60-B1_L001,CD8_G,10,CD8_G
B11_P7_M60-B1_L001,CD8_B,6,NA
B11_P9_M60-B1_L001,CD8_G,8,CD8_G
B12_P6_M60-B1_L001,CD8_G,5,CD8_G
B12_P7_M60-B1_L001,CD8_G,10,CD8_G
B12_P8_M60-B1_L001,CD8_G,6,CD8_G
B12_P9_M60-B1_L001,CD8_G,5,CD8_G
B1_P6_M60-B1_L001,CD8_B,6,NA
B1_P7_M60-B1_L001,CD8_G,8,CD8_G
B2_P6_M60-B1_L001,CD8_B,6,CD8_B
B2_P9_M60-B1_L001,CD8_G,10,CD8_G
B5_P7_M60-B1_L001,CD8_B,6,CD8_B
B5_P9_M60-B1_L001,CD8_G,8,CD8_G
B6_P7_M60-B1_L001,CD8_G,6,CD8_G
B6_P9_M60-B1_L001,CD8_G,10,CD8_G
B7_P6_M60-B1_L001,CD8_G,10,CD8_G
B7_P7_M60-B1_L001,CD8_B,9,CD8_B
B7_P8_M60-B1_L001,CD8_B,9,CD8_B
B8_P6_M60-B1_L001,CD8_G,6,CD8_G
B9_P9_M60-B1_L001,CD8_G,5,CD8_G
C10_P6_M60-B1_L001,CD8_G,9,CD8_G
C10_P9_M60-B1_L001,CD8_G,10,CD8_G
C11_P6_M60-B1_L001,CD8_B,6,NA
C12_P8_M60-B1_L001,CD8_B,9,CD8_B
C1_P9_M60-B1_L001,CD8_B,9,CD8_B
C2_P6_M60-B1_L001,CD8_G,10,CD8_G
C3_P8_M60-B1_L001,CD8_B,8,NA
C4_P7_M60-B1_L001,CD8_G,9,NA
C5_P8_M60-B1_L001,CD8_B,6,NA
C8_P9_M60-B1_L001,CD8_G,10,CD8_G
D10_P6_M60-B1_L001,CD8_G,10,CD8_G
D10_P8_M60-B1_L001,CD8_G,5,CD8_G
D10_P9_M60-B1_L001,CD8_G,9,CD8_G
D11_P9_M60-B1_L001,CD8_B,6,NA
D12_P7_M60-B1_L001,CD8_G,8,CD8_G
D12_P9_M60-B1_L001,CD8_G,5,CD8_G
D1_P6_M60-B1_L001,CD8_B,11,CD8_B
D1_P9_M60-B1_L001,CD8_G,8,CD8_G
D3_P8_M60-B1_L001,CD8_G,10,CD8_G
D4_P6_M60-B1_L001,CD8_G,5,CD8_G
D4_P7_M60-B1_L001,CD8_G,5,CD8_G
D4_P8_M60-B1_L001,CD8_G,10,CD8_G
D5_P7_M60-B1_L001,CD8_B,6,CD8_B
D5_P8_M60-B1_L001,CD8_B,6,CD8_B
D5_P9_M60-B1_L001,CD8_G,10,CD8_G
D6_P6_M60-B1_L001,CD8_G,8,CD8_G
D6_P8_M60-B1_L001,CD8_G,10,CD8_G
D9_P9_M60-B1_L001,CD8_G,10,CD8_G
E10_P6_M60-B1_L001,CD8_G,10,CD8_G
E10_P8_M60-B1_L001,CD8_G,5,CD8_G
E11_P8_M60-B1_L001,CD8_G,8,CD8_G
E11_P9_M60-B1_L001,CD8_G,8,CD8_G
E12_P6_M60-B1_L001,CD8_G,5,CD8_G
E12_P9_M60-B1_L001,CD8_B,8,NA
E1_P6_M60-B1_L001,CD8_G,8,CD8_G
E1_P8_M60-B1_L001,CD8_G,10,CD8_G
E2_P6_M60-B1_L001,CD8_G,8,NA
E2_P9_M60-B1_L001,CD8_G,9,CD8_G
E3_P6_M60-B1_L001,CD8_G,5,CD8_G
E3_P8_M60-B1_L001,CD8_G,9,CD8_G
E3_P9_M60-B1_L001,CD8_G,5,CD8_G
E4_P9_M60-B1_L001,CD8_G,10,CD8_G
E5_P9_M60-B1_L001,CD8_G,5,CD8_G
E6_P7_M60-B1_L001,CD8_G,8,CD8_G
E7_P6_M60-B1_L001,CD8_G,6,CD8_G
E7_P7_M60-B1_L001,CD8_B,8,CD8_B
E8_P8_M60-B1_L001,CD8_G,8,CD8_G
F10_P6_M60-B1_L001,CD8_G,5,CD8_G
F10_P8_M60-B1_L001,CD8_G,9,CD8_G
F11_P7_M60-B1_L001,CD8_G,9,CD8_G
F12_P8_M60-B1_L001,CD8_B,8,CD8_B
F1_P6_M60-B1_L001,CD8_G,9,CD8_G
F1_P9_M60-B1_L001,CD8_G,10,CD8_G
F2_P7_M60-B1_L001,CD8_B,9,CD8_B
F2_P8_M60-B1_L001,CD8_G,5,CD8_G
F3_P6_M60-B1_L001,CD8_G,10,CD8_G
F4_P6_M60-B1_L001,CD8_B,9,NA
F5_P8_M60-B1_L001,CD8_G,5,CD8_G
F5_P9_M60-B1_L001,CD8_G,8,CD8_G
F6_P6_M60-B1_L001,CD8_G,10,CD8_G
F7_P6_M60-B1_L001,CD8_B,6,NA
F7_P8_M60-B1_L001,CD8_G,8,CD8_G
F8_P7_M60-B1_L001,CD8_G,6,CD8_G
F8_P8_M60-B1_L001,CD8_G,5,CD8_G
F9_P7_M60-B1_L001,CD8_B,8,NA
F9_P8_M60-B1_L001,CD8_B,9,CD8_B
G10_P9_M60-B1_L001,CD8_G,5,CD8_G
G12_P6_M60-B1_L001,CD8_G,8,CD8_G
G12_P7_M60-B1_L001,CD8_G,10,CD8_G
G12_P8_M60-B1_L001,CD8_B,6,CD8_B
G2_P7_M60-B1_L001,CD8_G,6,CD8_G
G3_P8_M60-B1_L001,CD8_B,9,NA
G3_P9_M60-B1_L001,CD8_B,9,CD8_B
G4_P6_M60-B1_L001,CD8_G,5,CD8_G
G5_P6_M60-B1_L001,CD8_G,10,CD8_G
G6_P6_M60-B1_L001,CD8_G,10,CD8_G
G6_P9_M60-B1_L001,CD8_G,5,CD8_G
G7_P6_M60-B1_L001,CD8_B,6,CD8_B
G7_P7_M60-B1_L001,CD8_B,6,CD8_B
H10_P9_M60-B1_L001,CD8_G,9,CD8_G
H11_P6_M60-B1_L001,CD8_B,6,CD8_B
H11_P8_M60-B1_L001,CD8_G,5,CD8_G
H12_P6_M60-B1_L001,CD8_B,6,NA
H12_P7_M60-B1_L001,CD8_G,8,CD8_G
H12_P8_M60-B1_L001,CD8_G,9,CD8_G
H12_P9_M60-B1_L001,CD8_B,6,NA
H1_P7_M60-B1_L001,CD8_B,6,CD8_B
H1_P8_M60-B1_L001,CD8_G,9,CD8_G
H1_P9_M60-B1_L001,CD8_B,6,NA
H2_P7_M60-B1_L001,CD8_B,6,CD8_B
H2_P8_M60-B1_L001,CD8_G,8,CD8_G
H2_P9_M60-B1_L001,CD8_G,10,CD8_G
H3_P6_M60-B1_L001,CD8_G,9,CD8_G
H3_P8_M60-B1_L001,CD8_G,10,CD8_G
H3_P9_M60-B1_L001,CD8_B,6,CD8_B
H4_P6_M60-B1_L001,CD8_G,8,CD8_G
H4_P7_M60-B1_L001,CD8_G,8,CD8_G
H5_P6_M60-B1_L001,CD8_G,10,CD8_G
H5_P7_M60-B1_L001,CD8_G,10,CD8_G
H6_P8_M60-B1_L001,CD8_G,5,CD8_G
H7_P8_M60-B1_L001,CD8_G,8,CD8_G
H8_P7_M60-B1_L001,CD8_G,10,CD8_G
H8_P8_M60-B1_L001,CD8_G,10,CD8_G
H9_P7_M60-B1_L001,CD8_B,6,NA
A10_P7_M63-B1,CD8_G,8,CD8_G
A10_P8_M63-B1,CD8_B,8,CD8_B
A11_P6_M63-B1,CD8_B,8,CD8_B
A11_P7_M63-B1,CD8_G,8,CD8_G
A11_P8_M63-B1,CD8_B,8,CD8_B
A12_P7_M63-B1,CD8_B,6,NA
A12_P8_M63-B1,CD8_B,6,CD8_B
A2_P6_M63-B1,CD8_B,8,CD8_B
A2_P8_M63-B1,CD8_B,6,NA
A2_P9_M63-B1,CD8_B,6,CD8_B
A3_P7_M63-B1,CD8_G,8,CD8_G
A3_P8_M63-B1,CD8_B,8,CD8_B
A4_P6_M63-B1,CD8_B,6,CD8_B
A4_P7_M63-B1,CD8_G,8,CD8_G
A4_P8_M63-B1,CD8_B,6,CD8_B
A5_P6_M63-B1,CD8_B,8,CD8_B
A5_P8_M63-B1,CD8_B,6,CD8_B
A6_P7_M63-B1,CD8_G,8,CD8_G
A7_P9_M63-B1,CD8_G,8,CD8_G
A9_P6_M63-B1,CD8_B,8,CD8_B
A9_P9_M63-B1,CD8_G,8,CD8_G
B12_P8_M63-B1,CD8_G,8,CD8_G
B12_P9_M63-B1,CD8_B,8,NA
B1_P7_M63-B1,CD8_G,8,CD8_G
B1_P9_M63-B1,CD8_B,6,NA
B2_P8_M63-B1,CD8_G,8,CD8_G
B3_P6_M63-B1,CD8_B,6,CD8_B
B4_P6_M63-B1,CD8_G,8,CD8_G
B4_P8_M63-B1,CD8_B,6,CD8_B
B4_P9_M63-B1,CD8_B,6,NA
B5_P6_M63-B1,CD8_B,6,NA
B6_P8_M63-B1,CD8_B,6,NA
B6_P9_M63-B1,CD8_G,8,CD8_G
B7_P9_M63-B1,CD8_B,6,CD8_B
B8_P8_M63-B1,CD8_B,6,CD8_B
B9_P7_M63-B1,CD8_G,8,CD8_G
C10_P7_M63-B1,CD8_B,9,NA
C11_P6_M63-B1,CD8_B,8,NA
C12_P7_M63-B1,CD8_B,9,NA
C12_P9_M63-B1,CD8_G,8,CD8_G
C2_P8_M63-B1,CD8_B,6,CD8_B
C3_P9_M63-B1,CD8_B,8,NA
C5_P6_M63-B1,CD8_G,8,CD8_G
C5_P7_M63-B1,CD8_B,9,NA
C5_P9_M63-B1,CD8_B,8,NA
C6_P6_M63-B1,CD8_B,11,CD8_B
C6_P7_M63-B1,CD8_G,9,CD8_G
C6_P8_M63-B1,CD8_G,8,CD8_G
C7_P8_M63-B1,CD8_B,6,CD8_B
C8_P8_M63-B1,CD8_B,6,CD8_B
C9_P6_M63-B1,CD8_G,8,CD8_G
D10_P9_M63-B1,CD8_G,8,CD8_G
D11_P6_M63-B1,CD8_G,8,NA
D11_P9_M63-B1,CD8_G,8,CD8_G
D12_P8_M63-B1,CD8_G,8,CD8_G
D12_P9_M63-B1,CD8_G,8,CD8_G
D1_P8_M63-B1,CD8_B,6,CD8_B
D1_P9_M63-B1,CD8_B,6,NA
D2_P6_M63-B1,CD8_B,8,NA
D3_P9_M63-B1,CD8_B,6,NA
D4_P7_M63-B1,CD8_G,8,CD8_G
D5_P9_M63-B1,CD8_B,6,NA
D6_P8_M63-B1,CD8_B,8,NA
D6_P9_M63-B1,CD8_G,8,CD8_G
D7_P6_M63-B1,CD8_G,8,CD8_G
D8_P7_M63-B1,CD8_G,8,CD8_G
D8_P9_M63-B1,CD8_B,6,CD8_B
D9_P6_M63-B1,CD8_G,8,NA
E10_P6_M63-B1,CD8_B,8,NA
E10_P8_M63-B1,CD8_G,8,CD8_G
E10_P9_M63-B1,CD8_B,6,NA
E12_P6_M63-B1,CD8_G,8,CD8_G
E12_P8_M63-B1,CD8_B,6,CD8_B
E1_P7_M63-B1,CD8_B,9,NA
E1_P8_M63-B1,CD8_G,6,CD8_G
E2_P6_M63-B1,CD8_B,6,CD8_B
E4_P6_M63-B1,CD8_B,6,CD8_B
E4_P7_M63-B1,CD8_G,8,CD8_G
E5_P8_M63-B1,CD8_G,6,CD8_G
E5_P9_M63-B1,CD8_G,8,CD8_G
E6_P7_M63-B1,CD8_G,10,CD8_G
E6_P9_M63-B1,CD8_B,6,CD8_B
E7_P6_M63-B1,CD8_G,8,CD8_G
E7_P8_M63-B1,CD8_G,6,CD8_G
E8_P7_M63-B1,CD8_B,9,NA
F10_P9_M63-B1,CD8_G,8,CD8_G
F11_P8_M63-B1,CD8_G,8,NA
F11_P9_M63-B1,CD8_B,6,CD8_B
F12_P6_M63-B1,CD8_B,6,CD8_B
F12_P9_M63-B1,CD8_B,8,NA
F1_P6_M63-B1,CD8_G,8,NA
F1_P8_M63-B1,CD8_G,8,CD8_G
F2_P6_M63-B1,CD8_B,6,CD8_B
F2_P7_M63-B1,CD8_B,11,CD8_B
F2_P8_M63-B1,CD8_B,6,CD8_B
F3_P9_M63-B1,CD8_G,8,CD8_G
F4_P7_M63-B1,CD8_B,11,CD8_B
F4_P9_M63-B1,CD8_G,8,CD8_G
F5_P7_M63-B1,CD8_B,9,NA
F6_P6_M63-B1,CD8_B,8,CD8_B
F7_P9_M63-B1,CD8_B,11,CD8_B
F8_P6_M63-B1,CD8_G,10,CD8_G
F9_P8_M63-B1,CD8_B,6,CD8_B
G10_P9_M63-B1,CD8_B,6,NA
G11_P9_M63-B1,CD8_B,6,CD8_B
G12_P6_M63-B1,CD8_B,8,NA
G12_P9_M63-B1,CD8_B,8,NA
G1_P8_M63-B1,CD8_B,8,CD8_B
G2_P7_M63-B1,CD8_G,8,CD8_G
G4_P6_M63-B1,CD8_G,8,CD8_G
G5_P6_M63-B1,CD8_B,6,CD8_B
G8_P7_M63-B1,CD8_G,8,CD8_G
G8_P9_M63-B1,CD8_G,6,CD8_G
G9_P6_M63-B1,CD8_B,6,CD8_B
H10_P6_M63-B1,CD8_B,6,CD8_B
H10_P7_M63-B1,CD8_G,9,CD8_G
H10_P9_M63-B1,CD8_G,8,CD8_G
H11_P6_M63-B1,CD8_G,8,CD8_G
H12_P6_M63-B1,CD8_B,6,CD8_B
H1_P7_M63-B1,CD8_B,11,CD8_B
H4_P9_M63-B1,CD8_B,8,NA
H6_P6_M63-B1,CD8_B,8,CD8_B
H6_P9_M63-B1,CD8_G,8,CD8_G
H7_P7_M63-B1,CD8_G,8,CD8_G
H7_P9_M63-B1,CD8_B,6,NA
