cell	type
A3_P4_M53_L001	unclustered
A4_P1_M53_L001	NK3 cells
A4_P4_M53_L001	CD4 T.mem cells
A5_P1_M53_L001	unclustered
A5_P2_M53_L001	NK1 cells
A5_P3_M53_L001	CD4 T.reg cells
A5_P4_M53_L001	CD8_B cells
A6_P1_M53_L001	CD8_B cells
A6_P3_M53_L001	Plasma cells
A6_P4_M53_L001	NK3 cells
A7_P1_M53_L001	Monocytes/Macrophages
A7_P2_M53_L001	Monocytes/Macrophages
A7_P3_M53_L001	CD8_B cells
A7_P4_M53_L001	CD8_B cells
A8_P1_M53_L001	Monocytes/Macrophages
A8_P2_M53_L001	CD4 T.reg cells
A8_P3_M53_L001	Monocytes/Macrophages
A8_P4_M53_L001	CD8_B cells
A9_P1_M53_L001	CD8_B cells
A9_P2_M53_L001	Plasma cells
A9_P3_M53_L001	Plasma cells
A9_P4_M53_L001	CD8_B cells
B10_P1_M53_L001	CD8_G cells
B10_P3_M53_L001	CD8_B cells
B10_P4_M53_L001	CD4 T.reg cells
B11_P1_M53_L001	unclustered
B11_P2_M53_L001	CD4 T.reg cells
B11_P3_M53_L001	CD8_B cells
B11_P4_M53_L001	CD4 T.mem cells
B12_P1_M53_L001	CD8_G cells
B12_P2_M53_L001	CD8_B cells
B12_P3_M53_L001	CD8_B cells
B12_P4_M53_L001	Monocytes/Macrophages
B1_P1_M53_L001	unclustered
B1_P2_M53_L001	CD8_B cells
B1_P3_M53_L001	CD4 T.reg cells
B1_P4_M53_L001	CD8_G cells
B2_P1_M53_L001	B cells
B2_P2_M53_L001	Dendritic cells
B2_P3_M53_L001	Monocytes/Macrophages
B2_P4_M53_L001	NK2 cells
B3_P1_M53_L001	Monocytes/Macrophages
B3_P2_M53_L001	NK2 cells
B3_P3_M53_L001	NK3 cells
B4_P1_M53_L001	unclustered
B4_P2_M53_L001	NK1 cells
B4_P4_M53_L001	NK3 cells
B5_P2_M53_L001	CD4 T.mem cells
B5_P3_M53_L001	CD8_B cells
B6_P1_M53_L001	CD4 T.reg cells
B6_P2_M53_L001	Monocytes/Macrophages
B6_P3_M53_L001	CD8_B cells
B6_P4_M53_L001	CD8_B cells
B7_P1_M53_L001	unclustered
B7_P2_M53_L001	unclustered
B7_P3_M53_L001	CD8_G cells
B7_P4_M53_L001	CD8_G cells
B8_P1_M53_L001	CD8_B cells
B8_P2_M53_L001	NK1 cells
B8_P3_M53_L001	CD4 T.mem cells
B8_P4_M53_L001	CD4 T.reg cells
B9_P1_M53_L001	Monocytes/Macrophages
B9_P2_M53_L001	CD4 T.mem cells
B9_P3_M53_L001	Plasma cells
B9_P4_M53_L001	CD8_B cells
C10_P2_M53_L001	CD4 T.reg cells
C10_P3_M53_L001	Monocytes/Macrophages
C10_P4_M53_L001	CD8_B cells
C11_P1_M53_L001	CD8_G cells
C11_P2_M53_L001	CD4 T.mem cells
C11_P3_M53_L001	CD8_B cells
C11_P4_M53_L001	CD4 T.reg cells
C12_P1_M53_L001	CD4 T.mem cells
C12_P2_M53_L001	CD8_B cells
C12_P4_M53_L001	CD8_G cells
C1_P1_M53_L001	CD8_B cells
C1_P2_M53_L001	CD4 T.mem cells
C1_P3_M53_L001	CD4 T.reg cells
C1_P4_M53_L001	Monocytes/Macrophages
C2_P1_M53_L001	CD4 T.reg cells
C2_P3_M53_L001	CD8_B cells
C2_P4_M53_L001	CD4 T.mem cells
C3_P1_M53_L001	Monocytes/Macrophages
C3_P2_M53_L001	CD4 T.reg cells
C3_P3_M53_L001	Monocytes/Macrophages
C3_P4_M53_L001	NK3 cells
C4_P1_M53_L001	CD8_B cells
C4_P2_M53_L001	CD8_G cells
C4_P3_M53_L001	CD4 T.reg cells
C4_P4_M53_L001	unclustered
C5_P1_M53_L001	CD4 T.mem cells
C5_P2_M53_L001	Monocytes/Macrophages
C5_P4_M53_L001	CD8_B cells
C6_P1_M53_L001	CD8_G cells
C6_P2_M53_L001	CD8_B cells
C6_P3_M53_L001	CD8_B cells
C7_P1_M53_L001	CD4 T.mem cells
C7_P2_M53_L001	CD8_B cells
C7_P3_M53_L001	Dendritic cells
C7_P4_M53_L001	CD8_G cells
C8_P1_M53_L001	Monocytes/Macrophages
C8_P2_M53_L001	unclustered
C8_P3_M53_L001	CD8_B cells
C8_P4_M53_L001	CD4 T.reg cells
C9_P1_M53_L001	CD8_B cells
C9_P2_M53_L001	CD8_B cells
C9_P3_M53_L001	NK2 cells
D10_P1_M53_L001	B cells
D10_P2_M53_L001	CD8_B cells
D10_P3_M53_L001	CD4 T.reg cells
D11_P2_M53_L001	unclustered
D11_P3_M53_L001	CD4 T.reg cells
D12_P1_M53_L001	CD4 T.mem cells
D12_P2_M53_L001	CD8_B cells
D12_P4_M53_L001	CD8_G cells
D1_P1_M53_L001	CD8_B cells
D1_P2_M53_L001	CD8_B cells
D1_P3_M53_L001	CD8_B cells
D1_P4_M53_L001	CD8_B cells
D2_P2_M53_L001	CD4 T.mem cells
D2_P3_M53_L001	unclustered
D2_P4_M53_L001	Monocytes/Macrophages
D3_P1_M53_L001	unclustered
D3_P3_M53_L001	CD8_B cells
D3_P4_M53_L001	CD8_B cells
D4_P1_M53_L001	CD8_G cells
D4_P2_M53_L001	CD4 T.mem cells
D4_P3_M53_L001	CD8_G cells
D5_P1_M53_L001	CD4 T.reg cells
D5_P2_M53_L001	CD8_G cells
D5_P3_M53_L001	CD8_B cells
D5_P4_M53_L001	CD8_B cells
D6_P2_M53_L001	CD8_B cells
D6_P3_M53_L001	Monocytes/Macrophages
D6_P4_M53_L001	CD8_B cells
D7_P1_M53_L001	NK3 cells
D7_P3_M53_L001	CD4 T.mem cells
D7_P4_M53_L001	CD8_B cells
D8_P1_M53_L001	CD8_B cells
D8_P2_M53_L001	CD4 T.mem cells
D8_P4_M53_L001	CD8_B cells
D9_P1_M53_L001	CD8_B cells
D9_P2_M53_L001	CD8_B cells
D9_P3_M53_L001	CD8_G cells
D9_P4_M53_L001	CD4 T.mem cells
E10_P1_M53_L001	CD4 T.mem cells
E10_P3_M53_L001	CD8_B cells
E10_P4_M53_L001	NK1 cells
E11_P1_M53_L001	CD4 T.mem cells
E11_P2_M53_L001	CD8_G cells
E11_P3_M53_L001	unclustered
E11_P4_M53_L001	CD8_B cells
E12_P1_M53_L001	unclustered
E12_P2_M53_L001	CD8_B cells
E12_P3_M53_L001	CD8_B cells
E12_P4_M53_L001	CD4 T.mem cells
E1_P1_M53_L001	NK2 cells
E1_P2_M53_L001	Monocytes/Macrophages
E1_P3_M53_L001	CD8_B cells
E1_P4_M53_L001	CD8_B cells
E2_P2_M53_L001	Monocytes/Macrophages
E2_P3_M53_L001	NK3 cells
E2_P4_M53_L001	CD8_B cells
E3_P1_M53_L001	CD8_B cells
E3_P2_M53_L001	CD8_G cells
E3_P4_M53_L001	NK1 cells
E4_P1_M53_L001	CD8_B cells
E4_P3_M53_L001	NK2 cells
E5_P1_M53_L001	Monocytes/Macrophages
E5_P2_M53_L001	NK3 cells
E5_P3_M53_L001	CD4 T.mem cells
E5_P4_M53_L001	Plasma cells
E6_P1_M53_L001	Monocytes/Macrophages
E6_P2_M53_L001	CD8_B cells
E6_P3_M53_L001	Monocytes/Macrophages
E6_P4_M53_L001	CD8_B cells
E7_P1_M53_L001	CD8_B cells
E7_P2_M53_L001	NK1 cells
E7_P3_M53_L001	unclustered
E7_P4_M53_L001	CD8_G cells
E8_P1_M53_L001	CD8_B cells
E8_P2_M53_L001	CD8_B cells
E8_P3_M53_L001	unclustered
E8_P4_M53_L001	CD4 T.mem cells
E9_P1_M53_L001	unclustered
E9_P2_M53_L001	CD8_B cells
E9_P3_M53_L001	CD8_B cells
E9_P4_M53_L001	CD8_B cells
F10_P1_M53_L001	unclustered
F11_P2_M53_L001	CD8_G cells
F11_P3_M53_L001	CD8_B cells
F11_P4_M53_L001	CD8_B cells
F12_P1_M53_L001	CD8_B cells
F12_P2_M53_L001	Monocytes/Macrophages
F12_P3_M53_L001	CD8_B cells
F12_P4_M53_L001	NK2 cells
F1_P1_M53_L001	CD8_B cells
F1_P2_M53_L001	CD8_B cells
F1_P3_M53_L001	CD8_G cells
F1_P4_M53_L001	CD8_B cells
F2_P1_M53_L001	CD4 T.mem cells
F2_P2_M53_L001	CD8_B cells
F2_P3_M53_L001	CD8_B cells
F2_P4_M53_L001	CD8_B cells
F3_P1_M53_L001	CD8_B cells
F3_P4_M53_L001	Monocytes/Macrophages
F4_P1_M53_L001	CD8_G cells
F4_P2_M53_L001	CD8_B cells
F4_P3_M53_L001	unclustered
F5_P1_M53_L001	NK2 cells
F5_P2_M53_L001	CD8_B cells
F5_P3_M53_L001	Monocytes/Macrophages
F5_P4_M53_L001	CD8_G cells
F6_P1_M53_L001	CD8_B cells
F6_P2_M53_L001	unclustered
F6_P3_M53_L001	CD8_B cells
F6_P4_M53_L001	CD8_G cells
F7_P1_M53_L001	CD8_B cells
F7_P2_M53_L001	Monocytes/Macrophages
F7_P3_M53_L001	CD8_B cells
F8_P1_M53_L001	Monocytes/Macrophages
F8_P2_M53_L001	NK2 cells
F8_P3_M53_L001	CD8_B cells
F8_P4_M53_L001	CD8_G cells
F9_P2_M53_L001	Plasma cells
F9_P3_M53_L001	Monocytes/Macrophages
F9_P4_M53_L001	unclustered
G10_P1_M53_L001	CD8_B cells
G10_P2_M53_L001	CD4 T.reg cells
G10_P3_M53_L001	B cells
G10_P4_M53_L001	CD8_B cells
G11_P1_M53_L001	NK2 cells
G11_P3_M53_L001	CD8_B cells
G11_P4_M53_L001	unclustered
G12_P1_M53_L001	unclustered
G12_P2_M53_L001	CD4 T.reg cells
G12_P3_M53_L001	CD8_B cells
G12_P4_M53_L001	Monocytes/Macrophages
G1_P1_M53_L001	CD8_B cells
G1_P2_M53_L001	NK1 cells
G1_P3_M53_L001	Plasma cells
G1_P4_M53_L001	NK2 cells
G2_P1_M53_L001	unclustered
G2_P2_M53_L001	CD8_B cells
G2_P3_M53_L001	CD8_G cells
G2_P4_M53_L001	CD8_B cells
G3_P2_M53_L001	CD8_B cells
G3_P4_M53_L001	CD8_B cells
G4_P1_M53_L001	Monocytes/Macrophages
G4_P3_M53_L001	CD8_B cells
G4_P4_M53_L001	NK3 cells
G5_P1_M53_L001	CD8_B cells
G5_P2_M53_L001	CD8_B cells
G5_P3_M53_L001	CD8_G cells
G5_P4_M53_L001	CD4 T.reg cells
G6_P1_M53_L001	CD8_B cells
G6_P2_M53_L001	NK3 cells
G6_P3_M53_L001	CD8_B cells
G6_P4_M53_L001	unclustered
G7_P1_M53_L001	B cells
G7_P2_M53_L001	CD8_B cells
G7_P3_M53_L001	CD4 T.mem cells
G7_P4_M53_L001	CD4 T.reg cells
G8_P1_M53_L001	CD8_B cells
G8_P2_M53_L001	Plasma cells
G8_P3_M53_L001	CD4 T.reg cells
G8_P4_M53_L001	CD8_B cells
G9_P3_M53_L001	Monocytes/Macrophages
G9_P4_M53_L001	CD4 T.mem cells
H10_P1_M53_L001	CD8_B cells
H10_P3_M53_L001	Monocytes/Macrophages
H10_P4_M53_L001	CD4 T.mem cells
H11_P1_M53_L001	CD8_B cells
H11_P2_M53_L001	Plasma cells
H11_P3_M53_L001	CD8_B cells
H11_P4_M53_L001	CD4 T.reg cells
H12_P2_M53_L001	NK3 cells
H12_P3_M53_L001	CD8_G cells
H12_P4_M53_L001	CD8_B cells
H1_P1_M53_L001	CD8_B cells
H1_P3_M53_L001	CD4 T.mem cells
H1_P4_M53_L001	NK2 cells
H2_P1_M53_L001	CD8_B cells
H2_P2_M53_L001	CD8_B cells
H2_P4_M53_L001	Monocytes/Macrophages
H3_P2_M53_L001	CD8_B cells
H3_P3_M53_L001	CD8_G cells
H3_P4_M53_L001	CD8_B cells
H4_P1_M53_L001	CD4 T.mem cells
H4_P2_M53_L001	CD4 T.reg cells
H4_P3_M53_L001	CD8_B cells
H4_P4_M53_L001	Dendritic cells
H5_P1_M53_L001	CD4 T.mem cells
H5_P2_M53_L001	CD8_B cells
H5_P3_M53_L001	CD8_B cells
H5_P4_M53_L001	CD8_B cells
H6_P2_M53_L001	CD8_B cells
H6_P3_M53_L001	CD4 T.reg cells
H6_P4_M53_L001	CD8_G cells
H7_P1_M53_L001	CD4 T.mem cells
H7_P3_M53_L001	CD8_B cells
H7_P4_M53_L001	CD8_B cells
H8_P1_M53_L001	CD4 T.mem cells
H8_P2_M53_L001	Monocytes/Macrophages
H8_P3_M53_L001	CD8_B cells
H8_P4_M53_L001	CD4 T.reg cells
H9_P1_M53_L001	CD8_B cells
H9_P2_M53_L001	CD8_B cells
H9_P3_M53_L001	CD8_B cells
H9_P4_M53_L001	CD4 T.mem cells
A10_P1_M79_L001	NK3 cells
A10_P2_M79_L001	NK3 cells
A10_P3_M79_L001	NK3 cells
A10_P4_M79_L001	unclustered
A11_P1_M79_L001	CD4 T.mem cells
A11_P2_M79_L001	CD4 T.reg cells
A11_P3_M79_L001	NK3 cells
A11_P4_M79_L001	NK3 cells
A12_P1_M79_L001	CD8_B cells
A12_P2_M79_L001	CD8_B cells
A12_P3_M79_L001	CD4 T.reg cells
A12_P4_M79_L001	Dendritic cells
A2_P1_M79_L001	unclustered
A2_P2_M79_L001	NK3 cells
A2_P3_M79_L001	NK1 cells
A2_P4_M79_L001	NK3 cells
A3_P1_M79_L001	NK3 cells
A3_P2_M79_L001	unclustered
A3_P3_M79_L001	NK3 cells
A3_P4_M79_L001	NK1 cells
A4_P1_M79_L001	NK3 cells
A4_P2_M79_L001	CD4 T.reg cells
A4_P3_M79_L001	NK1 cells
A4_P4_M79_L001	NK2 cells
A5_P1_M79_L001	NK3 cells
A5_P2_M79_L001	CD8_B cells
A5_P3_M79_L001	NK1 cells
A5_P4_M79_L001	NK3 cells
A6_P1_M79_L001	CD8_B cells
A6_P2_M79_L001	NK3 cells
A6_P3_M79_L001	Dendritic cells
A6_P4_M79_L001	CD4 T.reg cells
A7_P1_M79_L001	CD8_B cells
A7_P2_M79_L001	NK1 cells
A7_P3_M79_L001	CD8_B cells
A7_P4_M79_L001	CD4 T.mem cells
A8_P2_M79_L001	CD8_B cells
A8_P3_M79_L001	NK3 cells
A8_P4_M79_L001	NK3 cells
A9_P1_M79_L001	B cells
A9_P2_M79_L001	NK3 cells
A9_P4_M79_L001	NK1 cells
B10_P1_M79_L001	CD8_G cells
B10_P2_M79_L001	CD8_G cells
B10_P3_M79_L001	NK3 cells
B10_P4_M79_L001	CD8_G cells
B11_P1_M79_L001	CD8_B cells
B11_P2_M79_L001	Dendritic cells
B11_P3_M79_L001	NK3 cells
B11_P4_M79_L001	CD8_B cells
B12_P1_M79_L001	NK2 cells
B12_P2_M79_L001	NK3 cells
B12_P3_M79_L001	Dendritic cells
B12_P4_M79_L001	Dendritic cells
B1_P1_M79_L001	NK3 cells
B1_P2_M79_L001	CD8_B cells
B1_P3_M79_L001	CD4 T.mem cells
B1_P4_M79_L001	NK1 cells
B2_P1_M79_L001	CD8_G cells
B2_P2_M79_L001	CD4 T.reg cells
B2_P4_M79_L001	NK3 cells
B3_P1_M79_L001	NK1 cells
B3_P2_M79_L001	NK3 cells
B3_P3_M79_L001	unclustered
B3_P4_M79_L001	unclustered
B4_P1_M79_L001	CD8_B cells
B4_P2_M79_L001	CD4 T.reg cells
B4_P3_M79_L001	CD8_G cells
B4_P4_M79_L001	Dendritic cells
B5_P1_M79_L001	NK1 cells
B5_P2_M79_L001	NK1 cells
B5_P3_M79_L001	NK3 cells
B5_P4_M79_L001	CD4 T.mem cells
B6_P1_M79_L001	NK3 cells
B6_P2_M79_L001	NK1 cells
B6_P3_M79_L001	CD8_G cells
B6_P4_M79_L001	NK3 cells
B7_P1_M79_L001	CD8_B cells
B7_P2_M79_L001	NK3 cells
B7_P3_M79_L001	NK3 cells
B7_P4_M79_L001	CD4 T.reg cells
B8_P1_M79_L001	NK3 cells
B8_P2_M79_L001	CD8_B cells
B8_P3_M79_L001	NK3 cells
B8_P4_M79_L001	NK3 cells
B9_P1_M79_L001	CD8_G cells
B9_P2_M79_L001	CD8_B cells
B9_P3_M79_L001	Plasma cells
B9_P4_M79_L001	NK3 cells
C10_P1_M79_L001	CD8_B cells
C10_P3_M79_L001	CD8_B cells
C10_P4_M79_L001	NK3 cells
C11_P1_M79_L001	CD4 T.mem cells
C11_P2_M79_L001	CD4 T.reg cells
C11_P4_M79_L001	CD8_B cells
C12_P1_M79_L001	CD8_B cells
C12_P2_M79_L001	NK1 cells
C12_P3_M79_L001	CD4 T.reg cells
C12_P4_M79_L001	NK2 cells
C1_P1_M79_L001	CD8_G cells
C1_P2_M79_L001	CD4 T.reg cells
C1_P3_M79_L001	NK3 cells
C1_P4_M79_L001	CD8_B cells
C2_P1_M79_L001	NK3 cells
C2_P2_M79_L001	CD8_G cells
C2_P3_M79_L001	CD4 T.reg cells
C2_P4_M79_L001	CD8_B cells
C3_P1_M79_L001	NK3 cells
C3_P2_M79_L001	NK3 cells
C3_P3_M79_L001	NK3 cells
C3_P4_M79_L001	CD4 T.mem cells
C4_P1_M79_L001	CD8_B cells
C4_P2_M79_L001	CD8_B cells
C4_P3_M79_L001	CD8_G cells
C4_P4_M79_L001	CD8_B cells
C5_P1_M79_L001	CD4 T.reg cells
C5_P2_M79_L001	CD8_B cells
C5_P4_M79_L001	NK1 cells
C6_P2_M79_L001	NK3 cells
C6_P3_M79_L001	NK3 cells
C6_P4_M79_L001	unclustered
C7_P1_M79_L001	CD8_B cells
C7_P3_M79_L001	CD4 T.reg cells
C7_P4_M79_L001	CD4 T.reg cells
C8_P1_M79_L001	CD8_G cells
C8_P2_M79_L001	NK3 cells
C8_P3_M79_L001	CD8_B cells
C8_P4_M79_L001	NK3 cells
C9_P1_M79_L001	NK2 cells
C9_P3_M79_L001	CD4 T.reg cells
C9_P4_M79_L001	NK3 cells
D10_P2_M79_L001	NK1 cells
D10_P3_M79_L001	CD4 T.reg cells
D11_P1_M79_L001	CD8_B cells
D11_P2_M79_L001	CD8_B cells
D11_P3_M79_L001	NK1 cells
D11_P4_M79_L001	Dendritic cells
D12_P2_M79_L001	CD4 T.reg cells
D12_P3_M79_L001	NK3 cells
D12_P4_M79_L001	unclustered
D1_P1_M79_L001	Monocytes/Macrophages
D1_P2_M79_L001	NK3 cells
D1_P3_M79_L001	CD8_B cells
D1_P4_M79_L001	NK3 cells
D2_P1_M79_L001	NK3 cells
D2_P2_M79_L001	CD8_B cells
D2_P3_M79_L001	NK3 cells
D2_P4_M79_L001	NK3 cells
D3_P1_M79_L001	NK2 cells
D3_P2_M79_L001	B cells
D3_P3_M79_L001	NK3 cells
D3_P4_M79_L001	Dendritic cells
D4_P1_M79_L001	CD8_B cells
D4_P2_M79_L001	Dendritic cells
D4_P3_M79_L001	NK3 cells
D5_P1_M79_L001	NK2 cells
D5_P2_M79_L001	CD8_B cells
D5_P3_M79_L001	CD8_B cells
D5_P4_M79_L001	NK3 cells
D6_P2_M79_L001	Dendritic cells
D6_P3_M79_L001	NK3 cells
D6_P4_M79_L001	Dendritic cells
D7_P1_M79_L001	unclustered
D7_P2_M79_L001	CD4 T.reg cells
D7_P3_M79_L001	NK2 cells
D7_P4_M79_L001	NK3 cells
D8_P1_M79_L001	B cells
D8_P2_M79_L001	NK3 cells
D8_P3_M79_L001	NK3 cells
D8_P4_M79_L001	NK3 cells
D9_P1_M79_L001	CD8_B cells
D9_P2_M79_L001	CD8_B cells
D9_P3_M79_L001	NK3 cells
D9_P4_M79_L001	NK3 cells
E10_P1_M79_L001	CD4 T.reg cells
E10_P2_M79_L001	CD4 T.reg cells
E10_P3_M79_L001	CD4 T.mem cells
E10_P4_M79_L001	NK1 cells
E11_P1_M79_L001	CD4 T.reg cells
E11_P2_M79_L001	NK3 cells
E11_P3_M79_L001	CD4 T.reg cells
E11_P4_M79_L001	NK3 cells
E12_P1_M79_L001	CD8_G cells
E12_P2_M79_L001	CD8_B cells
E12_P3_M79_L001	CD4 T.reg cells
E12_P4_M79_L001	NK3 cells
E1_P1_M79_L001	unclustered
E1_P2_M79_L001	CD8_B cells
E1_P3_M79_L001	NK3 cells
E1_P4_M79_L001	NK3 cells
E2_P1_M79_L001	CD8_B cells
E2_P2_M79_L001	CD8_B cells
E2_P3_M79_L001	NK3 cells
E2_P4_M79_L001	Dendritic cells
E3_P1_M79_L001	CD8_G cells
E3_P2_M79_L001	CD8_B cells
E3_P3_M79_L001	CD8_B cells
E3_P4_M79_L001	NK3 cells
E4_P1_M79_L001	NK3 cells
E4_P2_M79_L001	NK3 cells
E4_P3_M79_L001	NK3 cells
E4_P4_M79_L001	NK3 cells
E5_P1_M79_L001	CD8_B cells
E5_P2_M79_L001	CD8_B cells
E5_P3_M79_L001	CD8_G cells
E5_P4_M79_L001	CD4 T.reg cells
E6_P1_M79_L001	CD8_G cells
E6_P2_M79_L001	CD4 T.reg cells
E6_P3_M79_L001	NK3 cells
E6_P4_M79_L001	CD4 T.reg cells
E7_P1_M79_L001	CD8_G cells
E7_P2_M79_L001	CD4 T.mem cells
E7_P3_M79_L001	NK2 cells
E7_P4_M79_L001	NK3 cells
E8_P1_M79_L001	CD8_G cells
E8_P2_M79_L001	NK3 cells
E8_P3_M79_L001	NK3 cells
E8_P4_M79_L001	CD8_B cells
E9_P1_M79_L001	CD8_G cells
E9_P2_M79_L001	CD8_B cells
E9_P3_M79_L001	CD4 T.reg cells
E9_P4_M79_L001	NK1 cells
F10_P1_M79_L001	NK2 cells
F10_P2_M79_L001	NK1 cells
F10_P3_M79_L001	CD4 T.reg cells
F10_P4_M79_L001	B cells
F11_P1_M79_L001	CD8_B cells
F11_P2_M79_L001	NK3 cells
F11_P3_M79_L001	NK3 cells
F11_P4_M79_L001	CD4 T.reg cells
F12_P1_M79_L001	CD4 T.reg cells
F12_P2_M79_L001	NK3 cells
F12_P3_M79_L001	NK2 cells
F12_P4_M79_L001	CD4 T.reg cells
F1_P1_M79_L001	NK3 cells
F1_P2_M79_L001	CD4 T.reg cells
F1_P3_M79_L001	NK1 cells
F1_P4_M79_L001	CD8_G cells
F2_P1_M79_L001	B cells
F2_P2_M79_L001	CD8_B cells
F2_P3_M79_L001	CD8_G cells
F2_P4_M79_L001	NK1 cells
F3_P1_M79_L001	CD4 T.reg cells
F3_P2_M79_L001	NK3 cells
F3_P3_M79_L001	NK3 cells
F3_P4_M79_L001	unclustered
F4_P2_M79_L001	CD8_B cells
F4_P3_M79_L001	NK3 cells
F4_P4_M79_L001	CD8_B cells
F5_P2_M79_L001	CD8_G cells
F5_P3_M79_L001	CD8_B cells
F5_P4_M79_L001	NK3 cells
F6_P1_M79_L001	NK3 cells
F6_P2_M79_L001	NK3 cells
F6_P3_M79_L001	CD8_G cells
F6_P4_M79_L001	NK3 cells
F7_P1_M79_L001	NK3 cells
F7_P2_M79_L001	NK3 cells
F7_P3_M79_L001	NK3 cells
F8_P1_M79_L001	NK3 cells
F8_P2_M79_L001	B cells
F8_P3_M79_L001	NK2 cells
F8_P4_M79_L001	CD8_B cells
F9_P1_M79_L001	unclustered
F9_P2_M79_L001	CD8_B cells
F9_P3_M79_L001	Dendritic cells
F9_P4_M79_L001	CD8_G cells
G10_P1_M79_L001	NK3 cells
G10_P2_M79_L001	CD4 T.reg cells
G10_P3_M79_L001	CD4 T.reg cells
G10_P4_M79_L001	CD4 T.reg cells
G11_P1_M79_L001	B cells
G11_P2_M79_L001	NK3 cells
G11_P3_M79_L001	NK2 cells
G11_P4_M79_L001	NK3 cells
G12_P1_M79_L001	NK3 cells
G12_P2_M79_L001	CD4 T.reg cells
G12_P3_M79_L001	NK3 cells
G12_P4_M79_L001	unclustered
G1_P1_M79_L001	CD8_G cells
G1_P2_M79_L001	NK3 cells
G1_P3_M79_L001	NK3 cells
G1_P4_M79_L001	unclustered
G2_P1_M79_L001	CD4 T.mem cells
G2_P2_M79_L001	NK1 cells
G2_P3_M79_L001	NK3 cells
G2_P4_M79_L001	NK3 cells
G3_P1_M79_L001	unclustered
G3_P2_M79_L001	CD8_B cells
G3_P3_M79_L001	NK3 cells
G3_P4_M79_L001	CD4 T.reg cells
G4_P1_M79_L001	CD4 T.reg cells
G4_P2_M79_L001	NK1 cells
G4_P3_M79_L001	Plasma cells
G4_P4_M79_L001	CD8_B cells
G5_P1_M79_L001	B cells
G5_P2_M79_L001	CD8_G cells
G5_P3_M79_L001	CD4 T.reg cells
G5_P4_M79_L001	CD4 T.reg cells
G6_P1_M79_L001	NK2 cells
G6_P2_M79_L001	unclustered
G6_P3_M79_L001	NK3 cells
G6_P4_M79_L001	CD8_B cells
G7_P2_M79_L001	Plasma cells
G7_P3_M79_L001	NK1 cells
G7_P4_M79_L001	NK1 cells
G8_P1_M79_L001	CD8_G cells
G8_P2_M79_L001	NK1 cells
G8_P3_M79_L001	NK3 cells
G8_P4_M79_L001	NK3 cells
G9_P1_M79_L001	unclustered
G9_P2_M79_L001	CD4 T.reg cells
G9_P4_M79_L001	Dendritic cells
H10_P1_M79_L001	NK2 cells
H10_P2_M79_L001	NK1 cells
H10_P3_M79_L001	B cells
H10_P4_M79_L001	CD4 T.reg cells
H11_P1_M79_L001	CD4 T.mem cells
H11_P2_M79_L001	CD4 T.reg cells
H11_P3_M79_L001	CD8_B cells
H11_P4_M79_L001	CD8_G cells
H12_P1_M79_L001	CD8_B cells
H12_P2_M79_L001	NK3 cells
H12_P3_M79_L001	CD8_G cells
H12_P4_M79_L001	Dendritic cells
H1_P2_M79_L001	CD4 T.mem cells
H1_P3_M79_L001	NK3 cells
H1_P4_M79_L001	CD4 T.reg cells
H2_P1_M79_L001	CD8_B cells
H2_P2_M79_L001	CD8_B cells
H2_P3_M79_L001	Plasma cells
H2_P4_M79_L001	NK3 cells
H3_P1_M79_L001	CD4 T.reg cells
H3_P2_M79_L001	CD8_B cells
H3_P3_M79_L001	NK3 cells
H3_P4_M79_L001	CD4 T.reg cells
H4_P1_M79_L001	CD4 T.reg cells
H4_P2_M79_L001	B cells
H4_P3_M79_L001	CD8_G cells
H4_P4_M79_L001	CD8_B cells
H5_P1_M79_L001	NK2 cells
H5_P2_M79_L001	NK3 cells
H5_P3_M79_L001	NK3 cells
H5_P4_M79_L001	B cells
H6_P1_M79_L001	CD4 T.reg cells
H6_P2_M79_L001	NK3 cells
H6_P3_M79_L001	NK1 cells
H6_P4_M79_L001	CD4 T.reg cells
H7_P1_M79_L001	CD4 T.reg cells
H7_P2_M79_L001	NK3 cells
H7_P4_M79_L001	Dendritic cells
H8_P1_M79_L001	CD4 T.reg cells
H8_P2_M79_L001	NK3 cells
H8_P3_M79_L001	Monocytes/Macrophages
H9_P1_M79_L001	Monocytes/Macrophages
H9_P2_M79_L001	NK3 cells
H9_P3_M79_L001	NK3 cells
H9_P4_M79_L001	CD8_B cells
A10_P1_M51_L001	CD8_G cells
A10_P2_M51_L001	Plasma cells
A10_P6_M51_L001	CD8_G cells
A11_P1_M51_L001	B cells
A11_P6_M51_L001	Plasma cells
A12_P1_M51_L001	CD8_G cells
A1_P1_M51_L001	CD4 T.mem cells
A1_P2_M51_L001	CD8_G cells
A1_P6_M51_L001	CD4 T.mem cells
A2_P2_M51_L001	CD4 T.mem cells
A2_P6_M51_L001	CD4 T.mem cells
A3_P1_M51_L001	Plasma cells
A3_P2_M51_L001	CD8_G cells
A4_P1_M51_L001	B cells
A4_P2_M51_L001	CD8_G cells
A4_P6_M51_L001	CD8_G cells
A5_P1_M51_L001	B cells
A5_P6_M51_L001	CD4 T.mem cells
A6_P1_M51_L001	unclustered
A6_P2_M51_L001	Plasma cells
A6_P6_M51_L001	Plasma cells
A7_P1_M51_L001	CD4 T.mem cells
A7_P2_M51_L001	CD4 T.mem cells
A7_P6_M51_L001	CD4 T.mem cells
