cell	type
E3_P1_M15	CD8_G cells
E3_P6_M15	unclustered
E4_P1_M15	CD8_B cells
E4_P2_M15	CD8_B cells
E4_P5_M15	NK2 cells
E5_P2_M15	NK1 cells
E5_P6_M15	CD8_G cells
E6_P5_M15	NK2 cells
E7_P1_M15	unclustered
E8_P2_M15	CD8_B cells
E8_P6_M15	CD4 T.reg cells
E9_P1_M15	CD8_B cells
E9_P6_M15	Monocytes/Macrophages
F10_P1_M15	CD8_G cells
F10_P2_M15	CD8_G cells
F10_P5_M15	NK2 cells
F10_P6_M15	NK2 cells
F11_P1_M15	NK2 cells
F11_P2_M15	CD8_B cells
F11_P5_M15	CD8_G cells
F12_P1_M15	CD8_B cells
F12_P2_M15	NK1 cells
F12_P6_M14	CD8_B cells
F1_P1_M15	NK1 cells
F1_P2_M15	NK2 cells
F1_P4_M15	NK2 cells
F1_P6_M15	NK2 cells
F2_P1_M15	CD8_B cells
F2_P5_M15	CD4 T.reg cells
F2_P6_M15	CD8_G cells
F3_P1_M15	CD8_G cells
F3_P4_M15	CD4 T.reg cells
F3_P5_M15	Plasma cells
F3_P6_M15	Monocytes/Macrophages
F4_P5_M15	NK2 cells
F5_P1_M15	CD8_G cells
F5_P5_M15	CD8_B cells
F6_P2_M15	unclustered
F6_P3_M15	CD8_B cells
F6_P5_M15	CD8_G cells
F6_P6_M15	CD4 T.reg cells
F7_P1_M15	CD8_G cells
F7_P6_M15	CD4 T.reg cells
F8_P5_M15	CD8_B cells
F8_P6_M15	NK1 cells
F9_P6_M15	unclustered
G10_P1_M15	CD8_G cells
G10_P6_M15	NK1 cells
G11_P1_M15	NK1 cells
G11_P5_M15	unclustered
G11_P6_M15	CD4 T.reg cells
G12_P1_M15	unclustered
G12_P2_M15	CD8_G cells
G12_P6_M14	CD4 T.reg cells
G1_P1_M15	CD8_B cells
G1_P2_M15	NK2 cells
G1_P4_M15	CD8_G cells
G1_P5_M15	CD8_G cells
G1_P6_M15	NK2 cells
G2_P1_M15	CD4 T.reg cells
G2_P2_M15	NK1 cells
G3_P1_M15	NK3 cells
G3_P3_M15	NK1 cells
G3_P4_M15	NK1 cells
G3_P5_M15	CD8_G cells
G3_P6_M15	CD4 T.reg cells
G4_P1_M15	CD8_B cells
G4_P2_M15	CD8_G cells
G4_P5_M15	NK2 cells
G5_P1_M15	CD8_B cells
G5_P6_M15	CD8_G cells
G6_P2_M15	CD8_B cells
G6_P5_M15	CD8_B cells
G6_P6_M15	CD8_G cells
G7_P5_M15	CD4 T.reg cells
G7_P6_M15	unclustered
G8_P1_M15	CD4 T.reg cells
G8_P2_M15	CD8_G cells
G8_P5_M15	CD8_G cells
G8_P6_M15	CD8_B cells
G9_P1_M15	CD8_G cells
G9_P5_M15	CD8_G cells
G9_P6_M15	Monocytes/Macrophages
H10_P1_M15	NK2 cells
H10_P2_M15	unclustered
H10_P4_M15	CD8_B cells
H10_P5_M15	unclustered
H10_P6_M15	NK2 cells
H11_P1_M15	NK2 cells
H11_P2_M15	CD4 T.reg cells
H11_P3_M15	CD8_G cells
H11_P6_M15	NK2 cells
H12_P1_M15	CD8_G cells
H12_P2_M15	unclustered
H12_P5_M15	NK1 cells
H12_P6_M14	CD4 T.reg cells
H1_P1_M15	CD4 T.reg cells
H1_P2_M15	unclustered
H1_P4_M15	CD8_G cells
H1_P6_M15	unclustered
H2_P1_M15	unclustered
H2_P2_M15	CD4 T.reg cells
H2_P3_M15	Monocytes/Macrophages
H2_P6_M15	NK2 cells
H3_P1_M15	unclustered
H3_P6_M15	NK2 cells
H4_P2_M15	NK2 cells
H4_P6_M15	CD8_B cells
H5_P1_M15	unclustered
H5_P5_M15	NK3 cells
H5_P6_M15	CD4 T.reg cells
H6_P1_M15	CD8_G cells
H6_P3_M15	unclustered
H6_P6_M15	CD8_G cells
H7_P1_M15	NK2 cells
H7_P2_M15	CD8_B cells
H7_P5_M15	NK2 cells
H7_P6_M15	unclustered
H8_P1_M15	CD8_B cells
H8_P5_M15	CD4 T.reg cells
H9_P1_M15	CD8_B cells
H9_P5_M15	NK2 cells
H9_P6_M15	CD8_G cells
A10_P1_M55_L001	CD8_B cells
A10_P2_M55_L001	NK3 cells
A10_P3_M55_L001	CD8_G cells
A10_P4_M55_L001	CD8_G cells
A11_P1_M55_L001	CD8_B cells
A11_P2_M55_L001	CD8_B cells
A11_P3_M55_L001	CD8_B cells
A11_P4_M55_L001	CD8_B cells
A12_P1_M55_L001	CD4 T.reg cells
A12_P2_M55_L001	CD8_G cells
A12_P3_M55_L001	B cells
A12_P4_M55_L001	B cells
A2_P1_M55_L001	CD8_B cells
A2_P2_M55_L001	B cells
A2_P3_M55_L001	NK3 cells
A2_P4_M55_L001	CD8_B cells
A3_P1_M55_L001	CD8_B cells
A3_P2_M55_L001	NK3 cells
A3_P3_M55_L001	Monocytes/Macrophages
A3_P4_M55_L001	unclustered
A4_P1_M55_L001	NK3 cells
A4_P2_M55_L001	CD8_B cells
A4_P3_M55_L001	CD8_G cells
A4_P4_M55_L001	CD8_G cells
A5_P1_M55_L001	CD8_B cells
A5_P2_M55_L001	CD8_B cells
A5_P3_M55_L001	CD8_B cells
A5_P4_M55_L001	CD8_B cells
A6_P1_M55_L001	CD8_B cells
A6_P2_M55_L001	NK3 cells
A6_P3_M55_L001	CD8_G cells
A6_P4_M55_L001	CD8_B cells
A7_P1_M55_L001	CD8_B cells
A7_P2_M55_L001	CD8_B cells
A7_P3_M55_L001	CD8_G cells
A7_P4_M55_L001	CD8_G cells
A8_P1_M55_L001	NK1 cells
A8_P2_M55_L001	CD8_B cells
A8_P3_M55_L001	unclustered
A8_P4_M55_L001	CD8_B cells
A9_P1_M55_L001	unclustered
A9_P2_M55_L001	CD4 T.reg cells
A9_P3_M55_L001	CD8_G cells
A9_P4_M55_L001	CD8_B cells
B10_P1_M55_L001	CD8_B cells
B10_P2_M55_L001	CD4 T.reg cells
B10_P3_M55_L001	CD8_B cells
B10_P4_M55_L001	B cells
B11_P1_M55_L001	CD4 T.reg cells
B11_P2_M55_L001	CD8_B cells
B11_P3_M55_L001	NK2 cells
B11_P4_M55_L001	NK3 cells
B12_P1_M55_L001	CD8_G cells
B12_P2_M55_L001	CD8_B cells
B12_P3_M55_L001	B cells
B12_P4_M55_L001	CD4 T.reg cells
B1_P1_M55_L001	NK3 cells
B1_P2_M55_L001	CD8_B cells
B1_P4_M55_L001	CD8_G cells
B2_P1_M55_L001	NK3 cells
B2_P2_M55_L001	CD8_B cells
B2_P4_M55_L001	CD4 T.reg cells
B3_P1_M55_L001	CD8_B cells
B3_P2_M55_L001	NK3 cells
B3_P3_M55_L001	CD8_G cells
B3_P4_M55_L001	NK1 cells
B4_P1_M55_L001	unclustered
B4_P2_M55_L001	CD8_B cells
B4_P3_M55_L001	unclustered
B4_P4_M55_L001	CD8_G cells
B5_P1_M55_L001	B cells
B5_P2_M55_L001	CD8_B cells
B5_P3_M55_L001	CD8_B cells
B5_P4_M55_L001	CD8_G cells
B6_P1_M55_L001	CD8_B cells
B6_P2_M55_L001	CD8_G cells
B6_P3_M55_L001	CD8_G cells
B6_P4_M55_L001	CD4 T.reg cells
B7_P1_M55_L001	CD8_B cells
B7_P2_M55_L001	CD8_B cells
B7_P3_M55_L001	CD8_B cells
B7_P4_M55_L001	CD8_B cells
B8_P1_M55_L001	Dendritic cells
B8_P2_M55_L001	CD8_G cells
B8_P3_M55_L001	unclustered
B8_P4_M55_L001	unclustered
B9_P1_M55_L001	CD8_B cells
