Cell Name,Cluster,ruoyi_cluster
B4_P3_M15,CD8_G,NA
B5_P5_M15,CD8_B,CD8_B
B6_P1_M15,CD8_G,NA
B7_P1_M15,CD8_B,CD8_B
B9_P2_M15,CD8_G,NA
B9_P6_M15,CD8_G,CD8_G
C11_P5_M15,CD8_G,CD8_G
C12_P2_M15,CD8_G,CD8_G
C12_P5_M15,CD8_G,CD8_G
C12_P6_M15,CD8_G,CD8_G
C1_P1_M15,CD8_G,NA
C2_P1_M15,CD8_G,NA
C2_P2_M15,CD8_B,CD8_B
C2_P6_M15,CD8_G,CD8_G
C3_P2_M15,CD8_G,NA
C4_P2_M15,CD8_G,CD8_G
C4_P6_M15,CD8_B,NA
C5_P6_M15,CD8_B,CD8_B
C6_P2_M15,CD8_B,CD8_B
C6_P5_M15,CD8_G,CD8_G
C6_P6_M15,CD8_G,CD8_G
C7_P1_M15,CD8_G,NA
C8_P1_M15,CD8_B,CD8_B
C8_P6_M15,CD8_G,CD8_G
C9_P1_M15,CD8_G,CD8_G
D10_P1_M15,CD8_G,NA
D10_P2_M15,CD8_G,CD8_G
D10_P4_M15,CD8_G,CD8_G
D11_P3_M15,CD8_G,CD8_G
D11_P5_M15,CD8_G,CD8_G
D12_P1_M15,CD8_B,CD8_B
D12_P2_M15,CD8_B,CD8_B
D12_P5_M15,CD8_G,NA
D1_P1_M15,CD8_G,CD8_G
D1_P6_M15,CD8_G,CD8_G
D2_P3_M15,CD8_B,CD8_B
D3_P2_M15,CD8_B,CD8_B
D3_P6_M15,CD8_B,CD8_B
D4_P6_M15,CD8_B,NA
D5_P1_M15,CD8_B,CD8_B
D5_P2_M15,CD8_G,CD8_G
D5_P3_M15,CD8_G,NA
D6_P6_M15,CD8_G,CD8_G
D7_P1_M15,CD8_G,NA
D7_P2_M15,CD8_B,CD8_B
D7_P5_M15,CD8_B,CD8_B
D8_P5_M15,CD8_G,NA
D9_P2_M15,CD8_G,CD8_G
E10_P1_M15,CD8_B,CD8_B
E10_P2_M15,CD8_B,CD8_B
E10_P6_M15,CD8_G,NA
E11_P1_M15,CD8_G,CD8_G
E11_P2_M15,CD8_B,CD8_B
E11_P5_M15,CD8_G,NA
E11_P6_M15,CD8_G,CD8_G
E12_P6_M14,CD8_G,CD8_G
E1_P2_M15,CD8_G,CD8_G
E1_P4_m15,CD8_G,CD8_G
E1_P5_M15,CD8_B,CD8_B
E2_P2_M15,CD8_G,CD8_G
E3_P1_M15,CD8_G,CD8_G
E3_P6_M15,CD8_B,NA
E4_P1_M15,CD8_B,CD8_B
E4_P2_M15,CD8_B,CD8_B
E5_P6_M15,CD8_G,CD8_G
E7_P1_M15,CD8_G,NA
E8_P2_M15,CD8_B,CD8_B
E9_P1_M15,CD8_B,CD8_B
F10_P1_M15,CD8_G,CD8_G
F10_P2_M15,CD8_G,CD8_G
F11_P2_M15,CD8_B,CD8_B
F11_P5_M15,CD8_G,CD8_G
F12_P1_M15,CD8_B,CD8_B
F12_P6_M14,CD8_B,NA
F2_P1_M15,CD8_B,CD8_B
F2_P6_M15,CD8_G,CD8_G
F3_P1_M15,CD8_G,CD8_G
F5_P1_M15,CD8_G,CD8_G
F5_P5_M15,CD8_B,CD8_B
F6_P2_M15,CD8_G,NA
F6_P3_M15,CD8_B,CD8_B
F6_P5_M15,CD8_G,CD8_G
F7_P1_M15,CD8_G,CD8_G
F8_P5_M15,CD8_B,CD8_B
G10_P1_M15,CD8_G,CD8_G
G12_P1_M15,CD8_G,NA
G12_P2_M15,CD8_G,CD8_G
G1_P1_M15,CD8_B,CD8_B
G1_P4_M15,CD8_G,CD8_G
G1_P5_M15,CD8_G,CD8_G
G3_P5_M15,CD8_G,CD8_G
G4_P1_M15,CD8_B,CD8_B
G4_P2_M15,CD8_G,CD8_G
G5_P1_M15,CD8_B,CD8_B
G5_P6_M15,CD8_G,CD8_G
G6_P2_M15,CD8_B,CD8_B
G6_P5_M15,CD8_B,CD8_B
G6_P6_M15,CD8_G,CD8_G
G8_P2_M15,CD8_G,NA
G8_P5_M15,CD8_G,CD8_G
G8_P6_M15,CD8_B,CD8_B
G9_P1_M15,CD8_G,CD8_G
G9_P5_M15,CD8_G,CD8_G
H10_P4_M15,CD8_B,CD8_B
H11_P3_M15,CD8_G,CD8_G
H12_P1_M15,CD8_G,CD8_G
H12_P2_M15,CD8_G,NA
H1_P2_M15,CD8_G,NA
H1_P4_M15,CD8_G,CD8_G
H1_P6_M15,CD8_B,NA
H4_P6_M15,CD8_B,CD8_B
H5_P1_M15,CD8_B,NA
H6_P1_M15,CD8_G,CD8_G
H6_P3_M15,CD8_G,NA
H6_P6_M15,CD8_G,CD8_G
H7_P2_M15,CD8_B,CD8_B
H7_P6_M15,CD8_B,NA
H8_P1_M15,CD8_B,CD8_B
H9_P1_M15,CD8_B,CD8_B
H9_P6_M15,CD8_G,CD8_G
A10_P1_M55_L001,CD8_B,CD8_B
A10_P3_M55_L001,CD8_G,CD8_G
A10_P4_M55_L001,CD8_G,CD8_G
A11_P1_M55_L001,CD8_B,CD8_B
A11_P2_M55_L001,CD8_B,CD8_B
A11_P3_M55_L001,CD8_B,CD8_B
A11_P4_M55_L001,CD8_B,CD8_B
A12_P2_M55_L001,CD8_G,CD8_G
A2_P1_M55_L001,CD8_B,CD8_B
A2_P4_M55_L001,CD8_B,CD8_B
A3_P1_M55_L001,CD8_B,CD8_B
A3_P4_M55_L001,CD8_B,NA
A4_P2_M55_L001,CD8_B,CD8_B
A4_P3_M55_L001,CD8_G,CD8_G
A4_P4_M55_L001,CD8_G,CD8_G
A5_P1_M55_L001,CD8_B,CD8_B
A5_P2_M55_L001,CD8_B,CD8_B
A5_P3_M55_L001,CD8_B,CD8_B
A5_P4_M55_L001,CD8_B,CD8_B
A6_P1_M55_L001,CD8_B,CD8_B
A6_P3_M55_L001,CD8_G,CD8_G
A6_P4_M55_L001,CD8_B,NA
A7_P1_M55_L001,CD8_B,CD8_B
A7_P2_M55_L001,CD8_B,CD8_B
A7_P3_M55_L001,CD8_G,CD8_G
A7_P4_M55_L001,CD8_G,CD8_G
A8_P2_M55_L001,CD8_B,CD8_B
A8_P3_M55_L001,CD8_G,NA
A8_P4_M55_L001,CD8_B,CD8_B
A9_P1_M55_L001,CD8_G,NA
A9_P3_M55_L001,CD8_G,CD8_G
A9_P4_M55_L001,CD8_B,CD8_B
B10_P1_M55_L001,CD8_B,CD8_B
B10_P3_M55_L001,CD8_B,CD8_B
B11_P2_M55_L001,CD8_B,CD8_B
B12_P1_M55_L001,CD8_G,CD8_G
B12_P2_M55_L001,CD8_B,CD8_B
B1_P2_M55_L001,CD8_B,CD8_B
B1_P4_M55_L001,CD8_G,CD8_G
B2_P2_M55_L001,CD8_B,CD8_B
B3_P1_M55_L001,CD8_B,CD8_B
B3_P3_M55_L001,CD8_G,CD8_G
B4_P1_M55_L001,CD8_G,NA
B4_P2_M55_L001,CD8_B,CD8_B
B4_P3_M55_L001,CD8_B,NA
B4_P4_M55_L001,CD8_G,CD8_G
B5_P2_M55_L001,CD8_B,CD8_B
B5_P3_M55_L001,CD8_B,CD8_B
B5_P4_M55_L001,CD8_G,CD8_G
B6_P1_M55_L001,CD8_B,CD8_B
B6_P2_M55_L001,CD8_G,CD8_G
B6_P3_M55_L001,CD8_G,CD8_G
B7_P1_M55_L001,CD8_B,CD8_B
B7_P2_M55_L001,CD8_B,CD8_B
B7_P3_M55_L001,CD8_B,CD8_B
B7_P4_M55_L001,CD8_B,CD8_B
