geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
P2RY14	0.3327	0.04025	0.0384	0.139	5.08395	0.19785	0.14325	0.1769	0.01705	0	0.38505
P2RY6	0	0	0	0.0495	4.9839	2.92265	0.0117	0.0087	0.00465	0.3237	0
PACSIN1	0.0715	0.1887	0.01915	0.205	3.88715	0	0.1771	0.11035	0.20715	0.0386	0.0194
PALD1	0.4055	0.03345	0.03785	0	3.16895	1.35285	0.0258	0.0433	0.00885	0.00145	0
PARP8	2.10395	3.8893	3.61755	4.9176	1.66035	2.35075	3.33005	4.9832	4.4058	0.61215	2.48005
PAX5	5.79705	0	0.008	0.0013	0	0.01895	0.2773	0.1446	0.0495	0.1613	0.0178
PBK	0.03085	0	2.10585	0	0.0066	0.4821	2.52615	0.01	0.01845	0.04465	0
PBX4	0.14895	1.45095	1.0186	1.84095	0.0086	0.08685	1.7652	1.4511	1.35405	0.0912	2.92295
PDCD1	0.1195	1.1974	5.71555	1.6385	0.13595	0.18135	4.47315	1.35665	5.5007	0.04495	4.7372
PDE4A	0.2138	0.3646	0.9401	1.3	0.8379	1.56005	1.31985	1.475	1.118	0.21785	1.2975
PDGFA	0.12475	0	0.5091	0.12055	0.00895	0.54175	0.53145	0.12375	0.21345	0	1.2207
PDK1	1.12115	0.86755	0.81985	1.0098	0.2081	2.7588	1.355	0.42755	0.6478	4.2295	0.82195
PFKFB2	0.5834	0.142	0.1659	0.301	5.27865	1.28905	0.13085	0.19615	0.0925	0.1543	0.0146
PHACTR1	3.43795	0.0114	0.05865	0.03045	3.5733	1.5223	0.1463	0.12905	0.07255	0.4938	0.04775
PHLDA1	0.1248	1.26145	2.99125	1.91845	0.05665	1.05895	3.2889	1.97565	2.66135	0.02765	3.8865
PIK3C2B	3.5877	0.96435	0.4129	0.52815	0.189	0.51135	0.5973	0.7246	0.7999	0.4658	1.0498
PIK3R1	0.4922	2.2678	2.1408	4.05825	0.52485	1.11	2.0812	2.83405	2.8063	0.287	1.4323
PKIG	4.1633	0.08615	0.22815	0.2768	1.69045	0.6205	0.2241	0.17625	0.1578	0.51015	0.0974
PKMYT1	0.1406	0.0836	5.0941	0.0573	0.0329	2.26585	5.34525	0.12665	0.4514	0.0744	0.39235
PLBD1	0.01235	0.04425	0.05195	0.0494	0.08155	5.81885	0.0286	0.02015	0.0191	0.17785	0.0235
PLD4	1.3522	0	0.0251	0.0126	9.62875	0.38315	0.07265	0.0568	0	0.13955	0.00955
PLEKHG1	2.35635	0.06155	0.2323	0.15015	0.01135	0.0593	0.1871	0.1223	0.30015	0.1066	0.3065
PLTP	0.10535	0.0835	0.1731	0.00655	0.9098	7.4408	0.1527	0.02335	0.0522	1.15235	0.14855
PLXDC2	0.0428	0.0427	0.0239	0.0795	0.339	6.91365	0.0175	0.19015	0.02545	0.00545	0.03915
POLQ	0.11805	0.00815	2.2495	0	0.04305	0.7401	2.67045	0.04695	0.09955	0.0639	0.07875
POU2AF1	4.71185	0.46885	0.75605	0.05765	0.0201	0.0723	1.17495	0.25775	1.2103	4.93915	1.0812
PPAPDC1B	3.17715	1.31245	2.1076	0.961	1.13385	2.66405	2.6778	1.31965	1.5975	6.13815	1.8612
PPP1R14B	0.1104	0.2477	1.0013	0.4229	4.7593	1.6701	0.4372	0.53105	0.22955	0.198	0.17295
PRDX4	1.1796	0.87185	2.7674	0.7618	1.4695	6.5667	3.1153	0.4705	1.2578	7.8428	1.46215
PRF1	0.0772	0.8111	7.98155	4.173	0.08605	0.1841	5.82575	4.66205	7.2129	0.0504	2.60895
PTAFR	0.58795	0.02325	0.0443	0.00835	0.0931	6.51895	0.083	0.10375	0.029	0.2022	0.07535
PTCRA	0	0.05535	0	0	4.32295	0.08915	0	0	0	0.03065	0
PTGDS	0.0345	0.1033	0.00715	0.19445	6.5857	0.03335	0.0392	0.43925	0.0359	0	0.0085
PTGER2	0.06615	1.0779	0.75785	1.1718	0	1.37785	0.147	1.40495	0.5857	0.0059	0.27305
PTGER4	1.6805	4.9804	3.77245	4.18455	1.60085	4.1479	3.05385	4.3348	3.0023	0.05595	2.3024
PTGS1	0.74525	0.0499	0.0022	0.0072	0.2748	5.11155	0.10435	0.13555	0	0.1908	0.04905
PTPRS	0.36995	0.1381	0.07045	0.02345	7.192	0.04545	0.1642	0.0328	0.0849	0.71485	0.10585
PXN	0.2047	2.36075	0.9736	2.34365	0.2126	2.62215	1.78895	2.682	1.086	0.18845	2.0551
PYHIN1	0.51685	2.47455	4.94715	2.9063	0.03745	0.16845	4.1798	2.82265	4.9684	0.1222	3.26315
RAB20	0.16625	0.2178	0.0239	0.0426	0.4977	5.34425	0.02105	0.0695	0	0	0.0958
RABEP2	3.8907	0.6798	1.0825	0.523	0.6651	1.2944	1.4566	0.5327	0.3992	0.8125	0.607
RAD51	0.1556	0.07795	4.1252	0.01485	0.0791	1.67745	4.15495	0.08065	0.4455	0.0548	0.0049
RALGAPA1	0.9413	1.6624	1.3408	3.22475	1.532	0.9589	1.7038	2.73785	1.1641	0.4876	1.2914
RALGPS2	4.558	0.102	0	0.1475	0.36635	0	0.25615	0.27965	0.03945	1.8569	0.16135
RASA3	1.04665	1.9781	1.22515	2.1311	0.32975	2.27535	1.51585	1.9933	1.1959	0.50045	1.03965
RASGRP3	4.19925	0.33545	0.1453	0.14605	0.37035	2.11135	0.5009	0.29615	0.13835	1.786	0.2284
RCAN3	1.15915	2.5207	1.82035	1.47995	0.4848	1.32565	2.61585	1.3485	1.70315	0.13655	2.25215
RGCC	0.4385	1.90865	3.05445	3.38295	0.3628	2.79505	3.27795	3.0971	2.38375	0.5563	2.88305
RIN2	0.10155	0.0028	0.0545	0.0812	0.376	5.83815	0.0892	0.0372	0.0713	0.02195	0.0386
RNF125	0.13065	1.76005	1.8404	2.48945	0.43605	0.63025	1.25635	2.2632	1.2595	0.02065	1.16795
RNF166	1.33715	3.73525	3.2042	4.9422	2.66265	3.1573	2.99035	4.0248	3.7295	0.87825	3.6366
RP1-232L22__B.1	0.13655	0.25575	0.7845	0.1211	0.2583	2.5946	1.04215	0.2162	0.46685	0.0622	1.6194
RP1-257A7.5	5.3708	0.25295	0.44835	0.1765	6.2245	2.9296	0.41215	0.27815	0.1373	1.00775	0.42905
RP11-1143G9.4	0.09585	0.0785	0.0972	0.0455	0.94325	11.53975	0.1355	0.22155	0.23795	0.2264	0.2007
RP11-117D22.2	0.4417	0	0.0739	0.16265	5.4341	0.27205	0.0661	0.04785	0.0383	0	0.03835
RP11-16E12.2	0.3646	0	0.01045	0	0	0	0.0346	0.0139	0	2.93745	0
RP11-18H21.1	0.03935	1.36305	0.2007	0.8175	0	0.1248	0.74575	0.26505	0.3384	0.0029	0.3862
RP11-290F5.1	0.145	0.0432	0.08215	0.0311	0.137	0	0.0752	0.02535	0.0478	2.92635	0.06665
RP11-291B21.2	0.02885	0.3398	3.72805	2.45435	0	0.0426	1.17515	0.7643	1.80225	0	0.0491
